Therapeutic Class,Drug Name,Dosage Form,Status
ADHD / ANTI-NARCOLEPSY AGENTS : MISC,INTUNIV,TB24,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : MISC,ATOMOXETINE,CAPS,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : MISC,ATOMOXETINE HYDROCHLORIDE,CAPS,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : MISC,STRATTERA,CAPS,PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : MISC,QELBREE,CP24,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : MISC,SUNOSI,TABS,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : MISC,WAKIX,TABS,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,ARMODAFINIL,TABS,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,NUVIGIL,TABS,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,DEXMETHYLPHENIDATE HCL ER,CP24,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,DEXMETHYLPHENIDATE HYDROCHLORIDE,CP24,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,DEXMETHYLPHENIDATE HYDROCHLORIDE ER,CP24,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,FOCALIN XR,CP24,PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,DEXMETHYLPHENIDATE HCL,TABS,PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,DEXMETHYLPHENIDATE HYDROCHLORIDE,TABS,PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,FOCALIN,TABS,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,DAYTRANA,PTCH,PREFERRED_WITH_PA
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,METHYLPHENIDATE,PTCH,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,COTEMPLA XR-ODT,TBED,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,QUILLICHEW ER,CHER,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,METHYLPHENIDATE HYDROCHLORIDE,CHEW,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,APTENSIO XR,CP24,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,JORNAY PM,CP24,PREFERRED_WITH_PA
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,METHYLPHENIDATE HYDROCHLORIDE ER,CP24,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,METHYLPHENIDATE HYDROCHLORIDE ER (LA),CP24,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,RITALIN LA,CP24,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,METHYLPHENIDATE HYDROCHLORIDE CD,CPCR,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,METHYLPHENIDATE HYDROCHLORIDE ER,CPCR,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,METHYLIN,SOLN,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,METHYLPHENIDATE HYDROCHLORIDE,SOLN,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,QUILLIVANT XR,SRER,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,METHYLPHENIDATE HYDROCHLORIDE,TABS,PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,RITALIN,TABS,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,METHYLPHENIDATE HYDROCHLORIDE ER,TB24,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,CONCERTA,TBCR,PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,METHYLPHENID TAB 18MG ER  ,TBCR,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,METHYLPHENID TAB 27MG ER  ,TBCR,None None NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,METHYLPHENID TAB 36MG ER  ,TBCR,None None NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,METHYLPHENID TAB 54MG ER  ,TBCR,None None NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,METHYLPHENID TAB 72MG ER  ,TBCR,None None NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,METHYLPHENID TAB 10MG ER  ,TBCR,PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,METHYLPHENID TAB 20MG ER  ,TBCR,PREFERRED None None
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,RELEXXII,TBCR,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,MODAFINIL,TABS,PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,PROVIGIL,TABS,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,AZSTARYS,CAPS,NON_PREFERRED
AGENTS FOR SICKLE CELL DISEASE,ENDARI,PACK,PREFERRED
AGENTS FOR SICKLE CELL DISEASE,L-GLUTAMINE,PACK,NON_PREFERRED
AGENTS FOR SICKLE CELL DISEASE,DROXIA,CAPS,PREFERRED
AGENTS FOR SICKLE CELL DISEASE,XROMI,SOLN,NON_PREFERRED
AGENTS FOR SICKLE CELL DISEASE,SIKLOS,TABS,PREFERRED
AGENTS FOR SICKLE CELL DISEASE,CASGEVY,SUSP,NON_PREFERRED
AGENTS FOR SICKLE CELL DISEASE,LYFGENIA,SUSP,NON_PREFERRED
AGENTS FOR SICKLE CELL DISEASE,ADAKVEO,SOLN,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : MISC,AURANOFIN,CAPS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : MISC,RIDAURA,CAPS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : MISC,OTREXUP,SOAJ,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : MISC,RASUVO,SOAJ,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : MISC,ARAVA,TABS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : MISC,LEFLUNOMIDE,TABS,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),DICLOFENAC POTASSIUM,CAPS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),DICLOFENAC POTASSIUM 25MG,TABS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),DICLOFENAC POTASSIUM 50MG,TABS,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),LOFENA,TABS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),DICLOFENAC SODIUM ER,TB24,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),DICLOFENAC SODIUM DR,TBEC,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),ETODOLAC,CAPS,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),ETODOLAC,TABS,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),ETODOLAC ER,TB24,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),FENOPROFEN CALCIUM,CAPS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),FENOPRON,CAPS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),NALFON,CAPS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),FENOPROFEN CALCIUM,TABS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),NALFON,TABS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),FLURBIPROFEN,TABS,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),IBUPROFEN,SUSP,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),IBU,TABS,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),IBUPROFEN,TABS,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),INDOMETHACIN,CAPS,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),INDOMETHACIN ER,CPCR,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),INDOMETHACIN,SUPP,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),INDOMETHACIN,SUSP,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),KETOPROFEN,CAPS,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),KIPROFEN,CAPS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),KETOPROFEN ER,CP24,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),KETOROLAC TROMETHAMINE,TABS,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),MECLOFENAMATE SODIUM,CAPS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),MEFENAMIC ACID,CAPS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),MELOXICAM,CAPS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),MELOXICAM,TABS,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),NABUMETONE,TABS,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),RELAFEN DS,TABS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),NAPROSYN,SUSP,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),NAPROXEN,SUSP,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),NAPROXEN,TABS,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),EC-NAPROXEN,TBEC,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),NAPROXEN,TBEC,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),NAPROXEN DR,TBEC,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),NAPROXEN SODIUM,TABS,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),NAPRELAN,TB24,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),NAPROXEN SODIUM,TB24,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),NAPROXEN SODIUM CR,TB24,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),NAPROXEN SODIUM ER,TB24,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),DAYPRO,TABS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),OXAPROZIN,TABS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),PIROXICAM,CAPS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),SULINDAC,TABS,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),TOLMETIN SODIUM,CAPS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),TOLECTIN 600,TABS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),TOLMETIN SODIUM,TABS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),CELEBREX,CAPS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),CELECOXIB,CAPS,PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),ARTHROTEC 50,TBEC,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),ARTHROTEC 75,TBEC,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),DICLOFENAC SODIUM/MISOPROSTOL,TBEC,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),IBUPROFEN/FAMOTIDINE,TABS,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),NAPROXEN/ESOMEPRAZOLE MAGNESIUM,TBEC,NON_PREFERRED
ANALGESICS - ANTI-INFLAMMATORY : NONSTEROIDAL ANTI-INFLAMMATORY AGENTS (NSAIDs),VIMOVO,TBEC,NON_PREFERRED
ANALGESICS - NONNARCOTIC,DIFLUNISAL,TABS,PREFERRED
ANALGESICS - NONNARCOTIC,DOLOBID,TABS,NON_PREFERRED
ANALGESICS - NONNARCOTIC,SALSALATE,TABS,PREFERRED
ANALGESICS - NONNARCOTIC,JOURNAVX,TABS,NON_PREFERRED
ANALGESICS - NONNARCOTIC,BUTALBITAL/ACETAMINOPHEN,CAPS,NON_PREFERRED
ANALGESICS - NONNARCOTIC,BUTALBITAL/ACETAMINOPHEN,TABS,PREFERRED
ANALGESICS - NONNARCOTIC,BUTALBITAL/ACETAMINOPHEN/CAFFEINE,CAPS,PREFERRED
ANALGESICS - NONNARCOTIC,FIORICET,CAPS,NON_PREFERRED
ANALGESICS - NONNARCOTIC,BAC,TABS,PREFERRED
ANALGESICS - NONNARCOTIC,BUTALBITAL/ACETAMINOPHEN/CAFFEINE,TABS,PREFERRED
ANALGESICS - NONNARCOTIC,ESGIC,TABS,NON_PREFERRED
ANALGESICS - NONNARCOTIC,BUTALBITAL/ASPIRIN/CAFFEINE,CAPS,PREFERRED
ANALGESICS : OPIOID ,CODEINE SULFATE,TABS,PREFERRED
ANALGESICS : OPIOID ,FENTANYL,PT72,NON_PREFERRED
ANALGESICS : OPIOID ,ACTIQ,LPOP,NON_PREFERRED
ANALGESICS : OPIOID ,FENTANYL CITRATE ORAL TRANSMUCOSAL,LPOP,NON_PREFERRED
ANALGESICS : OPIOID ,FENTANYL CITRATE,TABS,NON_PREFERRED
ANALGESICS : OPIOID ,FENTORA,TABS,NON_PREFERRED
ANALGESICS : OPIOID ,HYDROCODONE BITARTRATE ER,CP12,NON_PREFERRED
ANALGESICS : OPIOID ,HYDROCODONE BITARTRATE ER,T24A,NON_PREFERRED
ANALGESICS : OPIOID ,HYSINGLA ER,T24A,NON_PREFERRED
ANALGESICS : OPIOID ,DILAUDID,LIQD,NON_PREFERRED
ANALGESICS : OPIOID ,HYDROMORPHONE HCL,LIQD,PREFERRED
ANALGESICS : OPIOID ,HYDROMORPHONE HYDROCHLORIDE,LIQD,PREFERRED
ANALGESICS : OPIOID ,HYDROMORPHONE HCL,SUPP,PREFERRED
ANALGESICS : OPIOID ,DILAUDID,TABS,NON_PREFERRED
ANALGESICS : OPIOID ,HYDROMORPHONE HCL,TABS,PREFERRED
ANALGESICS : OPIOID ,HYDROMORPHONE HYDROCHLORIDE,TABS,PREFERRED
ANALGESICS : OPIOID ,HYDROMORPHONE HCL ER,TB24,NON_PREFERRED
ANALGESICS : OPIOID ,HYDROMORPHONE HYDROCHLORIDE ER,TB24,NON_PREFERRED
ANALGESICS : OPIOID ,LEVORPHANOL TARTRATE,TABS,NON_PREFERRED
ANALGESICS : OPIOID ,MEPERIDINE HCL,SOLN,NON_PREFERRED
ANALGESICS : OPIOID ,MEPERIDINE HCL,TABS,NON_PREFERRED
ANALGESICS : OPIOID ,MEPERIDINE HYDROCHLORIDE,TABS,NON_PREFERRED
ANALGESICS : OPIOID ,METHADONE HYDROCHLORIDE,CONC,NON_PREFERRED
ANALGESICS : OPIOID ,METHADONE HYDROCHLORIDE INTENSOL,CONC,NON_PREFERRED
ANALGESICS : OPIOID ,METHADOSE,CONC,NON_PREFERRED
ANALGESICS : OPIOID ,METHADOSE SUGAR-FREE,CONC,NON_PREFERRED
ANALGESICS : OPIOID ,METHADONE HCL,SOLN,NON_PREFERRED
ANALGESICS : OPIOID ,METHADONE HYDROCHLORIDE,SOLN,NON_PREFERRED
ANALGESICS : OPIOID ,METHADONE HCL,TABS,NON_PREFERRED
ANALGESICS : OPIOID ,METHADONE HYDROCHLORIDE,TABS,NON_PREFERRED
ANALGESICS : OPIOID ,METHADONE HCL,TBSO,NON_PREFERRED
ANALGESICS : OPIOID ,METHADOSE,TBSO,NON_PREFERRED
ANALGESICS : OPIOID ,MORPHINE SULFATE ER,CP24,NON_PREFERRED
ANALGESICS : OPIOID ,MORPHINE SULFATE,SOLN,PREFERRED
ANALGESICS : OPIOID ,MORPHINE SULFATE,SUPP,PREFERRED
ANALGESICS : OPIOID ,MORPHINE SULFATE,TABS,PREFERRED
ANALGESICS : OPIOID ,MORPHINE SULFATE ER,TBCR,PREFERRED_WITH_PA
ANALGESICS : OPIOID ,MS CONTIN,TBCR,NON_PREFERRED
ANALGESICS : OPIOID ,MORPHINE SULFATE ER,CP24,NON_PREFERRED
ANALGESICS : OPIOID ,OXYCODONE HCL,CAPS,PREFERRED
ANALGESICS : OPIOID ,OXYCODONE HYDROCHLORIDE,CAPS,PREFERRED
ANALGESICS : OPIOID ,OXYCODONE HYDROCHLORIDE,CONC,PREFERRED
ANALGESICS : OPIOID ,OXYCODONE HYDROCHLORIDE,SOLN,PREFERRED
ANALGESICS : OPIOID ,OXYCODONE HYDROCHLORIDE ER,T12A,NON_PREFERRED
ANALGESICS : OPIOID ,OXYCONTIN,T12A,NON_PREFERRED
ANALGESICS : OPIOID ,ROXYBOND,TABA,NON_PREFERRED
ANALGESICS : OPIOID ,OXYCODONE HYDROCHLORIDE,TABS,PREFERRED
ANALGESICS : OPIOID ,ROXICODONE,TABS,NON_PREFERRED
ANALGESICS : OPIOID ,OXYMORPHONE HYDROCHLORIDE,TABS,NON_PREFERRED
ANALGESICS : OPIOID ,OXYMORPHONE HYDROCHLORIDE ER,TB12,NON_PREFERRED
ANALGESICS : OPIOID ,OXYMORPHONE HYDROCHLORIDEER,TB12,NON_PREFERRED
ANALGESICS : OPIOID ,CONZIP,CP24,NON_PREFERRED
ANALGESICS : OPIOID ,TRAMADOL HCL ER,CP24,NON_PREFERRED
ANALGESICS : OPIOID ,TRAMADOL HYDROCHLORIDE,SOLN,NON_PREFERRED
ANALGESICS : OPIOID ,TRAMADOL HYDROCHLORIDE,TABS,NON_PREFERRED
ANALGESICS : OPIOID ,TRAMADOL HYDROCHLORIDE,TABS,PREFERRED
ANALGESICS : OPIOID ,TRAMADOL HCL ER,TB24,NON_PREFERRED
ANALGESICS : OPIOID ,TRAMADOL HYDROCHLORIDE ER,TB24,NON_PREFERRED
ANALGESICS : OPIOID ,BUPRENORPHINE,PTWK,NON_PREFERRED
ANALGESICS : OPIOID ,BUTRANS,PTWK,NON_PREFERRED
ANALGESICS : OPIOID ,BELBUCA,FILM,NON_PREFERRED
ANALGESICS : OPIOID ,BUTORPHANOL TARTRATE,SOLN,NON_PREFERRED
ANALGESICS : OPIOID ,PENTAZOCINE/NALOXONE HCL,TABS,NON_PREFERRED
ANALGESICS : OPIOID COMBINATIONS,OXYCODONE HYDROCHLORIDE/ACETAMINOPHEN,SOLN,PREFERRED
ANALGESICS : OPIOID COMBINATIONS,PROLATE,SOLN,NON_PREFERRED
ANALGESICS : OPIOID COMBINATIONS,ENDOCET,TABS,PREFERRED
ANALGESICS : OPIOID COMBINATIONS,NALOCET,TABS,NON_PREFERRED
ANALGESICS : OPIOID COMBINATIONS,OXYCODONE/ACETAMINOPHEN,TABS,PREFERRED
ANALGESICS : OPIOID COMBINATIONS,PERCOCET,TABS,NON_PREFERRED
ANALGESICS : OPIOID COMBINATIONS,PROLATE,TABS,NON_PREFERRED
ANALGESICS : OPIOID COMBINATIONS,ACETAMINOPHEN/CODEINE,SOLN,PREFERRED
ANALGESICS : OPIOID COMBINATIONS,ACETAMINOPHEN/CODEINE,TABS,PREFERRED
