therapeutic_class,status,pdl_name
ALLERGY,Preferred,"Cetirizine 1 mg/mL Solution OTC, Tablet OTC (Generic)"
ALLERGY,Preferred,Cetirizine Solution RX (1 mg/mL) (Generic)
ALLERGY,Preferred,Cetirizine-D Tablet OTC (Generic)
ALLERGY,Preferred,Levocetirizine Tablet (Generic)
ALLERGY,Preferred,Levocetirizine Tablet OTC (Generic)
ALLERGY,Preferred,"Loratadine ODT OTC, Solution OTC, Tablet OTC (Generic)"
ALLERGY,Preferred,Loratadine-D Tablet OTC (Generic)
ALLERGY,Preferred,Azelastine Nasal Spray (Generic for Astelin)
ALLERGY,Preferred,Fluticasone Propionate Nasal Spray (Generic)
ALLERGY,Preferred,Ipratropium Bromide Nasal Spray (Generic)
ALZHEIMER’S AGENTS,Preferred,"Donepezil ODT, Tablet (Generic)"
ALZHEIMER’S AGENTS,Preferred,Memantine Tablet (AG; Generic)
ALZHEIMER’S AGENTS,Preferred,Rivastigmine Capsule (Generic)
ALZHEIMER’S AGENTS,Preferred,Rivastigmine Transdermal Patch (AG; Generic)
ANDROGENIC AGENTS,Preferred,Testosterone Gel Packet (AG for Vogelxo)
ANDROGENIC AGENTS,Preferred,Testosterone Gel Pump (Generic for Androgel)
ANTHELMINTICS,Preferred,Albendazole Tablet (Generic)
ANTHELMINTICS,Preferred,Ivermectin Tablet (Generic)
ANTHELMINTICS,Preferred,Mebendazole Chewable Tablet (Emverm)
ANTHELMINTICS,Preferred,Praziquantel Tablet (Generic)
ANTICONVULSANTS,Preferred,"Brivaracetam Solution, Tablet (Briviact)"
ANTICONVULSANTS,Preferred,Cannabidiol Solution (Epidiolex)
ANTICONVULSANTS,Preferred,Carbamazepine Chewable Tablet (Generic)
ANTICONVULSANTS,Preferred,Carbamazepine ER Capsule (Generic for Carbatrol)
ANTICONVULSANTS,Preferred,Carbamazepine ER Tablet (AG; Generic for Tegretol XR)
ANTICONVULSANTS,Preferred,Carbamazepine Tablet (Generic; Epitol)
ANTICONVULSANTS,Preferred,"Cenobamate Daily Dose Pack, Tablet, Titration Pack (Xcopri)"
ANTICONVULSANTS,Preferred,"Clobazam Suspension, Tablet (Generic)"
ANTICONVULSANTS,Preferred,"Clonazepam ODT, Tablet (Generic)"
ANTICONVULSANTS,Preferred,Diazepam Nasal Spray (Valtoco)
ANTICONVULSANTS,Preferred,"Diazepam Rectal, Rectal Device (AG for Diastat)"
ANTICONVULSANTS,Preferred,"Divalproex DR Tablet, ER Tablet, DR Sprinkle (Generic)"
ANTICONVULSANTS,Preferred,Eslicarbazepine Acetate Tablet (Aptiom)
ANTICONVULSANTS,Preferred,Ethosuximide Capsule (AG; Generic)
ANTICONVULSANTS,Preferred,Ethosuximide Syrup (Generic)
ANTICONVULSANTS,Preferred,Felbamate Suspension (Generic)
ANTICONVULSANTS,Preferred,Felbamate Tablet (Generic; Felbatol)
ANTICONVULSANTS,Preferred,"Lacosamide Solution, Tablet (Generic)"
ANTICONVULSANTS,Preferred,"Lamotrigine Dispersible Tablet, ER Tablet, Tablet (Generic)"
ANTICONVULSANTS,Preferred,"Levetiracetam ER Tablet, Solution, Tablet (Generic)"
ANTICONVULSANTS,Preferred,Methsuximide Capsule (Celontin)
ANTICONVULSANTS,Preferred,Midazolam Nasal Spray (Nayzilam)
ANTICONVULSANTS,Preferred,"Oxcarbazepine Suspension, Tablet (Generic)"
ANTICONVULSANTS,Preferred,Oxcarbazepine XR Tablet (Oxtellar XR)
ANTICONVULSANTS,Preferred,"Perampanel Suspension, Tablet (Fycompa)"
ANTICONVULSANTS,Preferred,"Phenobarbital Elixir, Tablet (Generic)"
ANTICONVULSANTS,Preferred,Phenobartibal Sodium IV (Sezaby)
ANTICONVULSANTS,Preferred,"Phenytoin Chewable Tablet, 100mg Capsule (Generic)"
ANTICONVULSANTS,Preferred,Phenytoin 30 mg Capsule (Dilantin)
ANTICONVULSANTS,Preferred,Phenytoin Sodium Capsule (Generic for Phenytek)
ANTICONVULSANTS,Preferred,Phenytoin Suspension (AG; Generic)
ANTICONVULSANTS,Preferred,Primidone Tablet (Generic)
ANTICONVULSANTS,Preferred,"Rufinamide Suspension, Tablet (Generic)"
ANTICONVULSANTS,Preferred,"Stiripentol Capsule, Powder Pack (Diacomit)"
ANTICONVULSANTS,Preferred,Topiramate ER Capsule (Generic for Trokendi)
ANTICONVULSANTS,Preferred,Topiramate Sprinkle (Generic)
ANTICONVULSANTS,Preferred,Topiramate Tablet (Generic; Topiragen)
ANTICONVULSANTS,Preferred,"Valproic Acid Capsule, Solution (Generic)"
ANTICONVULSANTS,Preferred,"Vigabatrin Powder Pack (Generic; Vigadrone, Vigpoder)"
ANTICONVULSANTS,Preferred,Vigabatrin Tablet (Generic; Vigadrone)
ANTICONVULSANTS,Preferred,Zonisamide Capsule (Generic)
ANTIPSYCHOTIC AGENTS,Preferred,ORAL AGENTS
ANTIPSYCHOTIC AGENTS,Preferred,Aripiprazole Tablet (Generic)
ANTIPSYCHOTIC AGENTS,Preferred,Cariprazine Capsule (Vraylar)
ANTIPSYCHOTIC AGENTS,Preferred,"Chlorpromazine Oral Concentrate, Tablet (Generic)"
ANTIPSYCHOTIC AGENTS,Preferred,Clozapine Tablet (Generic)
ANTIPSYCHOTIC AGENTS,Preferred,Fluphenazine Tablet (Generic)
ANTIPSYCHOTIC AGENTS,Preferred,Haloperidol Lactate Oral Concentrate (Generic)
ANTIPSYCHOTIC AGENTS,Preferred,Haloperidol Tablet (Generic)
ANTIPSYCHOTIC AGENTS,Preferred,Loxapine Capsule (Generic)
ANTIPSYCHOTIC AGENTS,Preferred,Lurasidone Tablet (Generic)
ANTIPSYCHOTIC AGENTS,Preferred,"Olanzapine ODT, Tablet (Generic)"
ANTIPSYCHOTIC AGENTS,Preferred,Paliperidone ER Tablet (AG; Generic)
ANTIPSYCHOTIC AGENTS,Preferred,Perphenazine Tablet (Generic)
ANTIPSYCHOTIC AGENTS,Preferred,Perphenazine/Amitriptyline Tablet (Generic)
ANTIPSYCHOTIC AGENTS,Preferred,Pimozide Tablet (Generic)
ANTIPSYCHOTIC AGENTS,Preferred,Quetiapine ER Tablet (Generic)
ANTIPSYCHOTIC AGENTS,Preferred,Quetiapine Tablet (Generic)
ANTIPSYCHOTIC AGENTS,Preferred,"Risperidone Solution, Tablet (Generic)"
ANTIPSYCHOTIC AGENTS,Preferred,Thioridazine Tablet (Generic)
ANTIPSYCHOTIC AGENTS,Preferred,Thiothixene Capsule (Generic)
ANTIPSYCHOTIC AGENTS,Preferred,Trifluoperazine Tablet (Generic)
ANTIPSYCHOTIC AGENTS,Preferred,Ziprasidone Capsule (AG; Generic)
ANTIPSYCHOTIC AGENTS,Preferred,INJECTABLE AGENTS
ANTIPSYCHOTIC AGENTS,Preferred,Aripiprazole Lauroxil (Aristada; Aristada Initio)
ANTIPSYCHOTIC AGENTS,Preferred,Aripiprazole Suspension ER (Abilify Asimtufii/Maintena)
ANTIPSYCHOTIC AGENTS,Preferred,Fluphenazine Decanoate (Generic)
ANTIPSYCHOTIC AGENTS,Preferred,"Haloperidol Decanoate, Lactate (Generic)"
ANTIPSYCHOTIC AGENTS,Preferred,Paliperidone Palmitate (Invega Hafyera/Sustenna/Trinza)
ANTIPSYCHOTIC AGENTS,Preferred,Risperidone ER Suspension (IM) (Generic; Risperdal Consta)
ANTIPSYCHOTIC AGENTS,Preferred,Risperidone ER Suspension (SQ) (Perseris; Uzedy)
ANTIPSYCHOTIC AGENTS,Preferred,Ziprasidone Vial (Generic)
"ANTIVIRALS, ORAL",Preferred,"Acyclovir Capsule, Suspension, Tablet (Generic)"
"ANTIVIRALS, ORAL",Preferred,Famciclovir Tablet (Generic)
"ANTIVIRALS, ORAL",Preferred,"Oseltamivir Capsule, Suspension (Generic)"
"ANTIVIRALS, ORAL",Preferred,Valacyclovir Tablet (Generic)
ANXIOLYTICS,Preferred,Alprazolam Tablet (Generic)
ANXIOLYTICS,Preferred,Buspirone Tablet (Generic)
ANXIOLYTICS,Preferred,Lorazepam Tablet (Generic)
ASTHMA/COPD,Preferred,INHALATION
ASTHMA/COPD,Preferred,Ipratropium Inhalation Aerosol MDI (Atrovent HFA)
ASTHMA/COPD,Preferred,Ipratropium Nebulizer Solution (Generic)
ASTHMA/COPD,Preferred,Ipratropium/Albuterol Sulfate (Combivent Respimat)
ASTHMA/COPD,Preferred,Ipratropium/Albuterol Sulfate Nebulizer Solution (Generic)
ASTHMA/COPD,Preferred,Tiotropium Inhalation Powder (Generic for Spiriva HandiHaler)
ASTHMA/COPD,Preferred,Tiotropium/Olodaterol (Stiolto Respimat)
ASTHMA/COPD,Preferred,Umeclidinium/Vilanterol Inhalation Powder (Anoro Ellipta)
ASTHMA/COPD,Preferred,ORAL
ASTHMA/COPD,Preferred,Roflumilast Tablet (Generic)
ASTHMA/COPD,Preferred,INHALATION
ASTHMA/COPD,Preferred,Albuterol Sulfate Nebulizer Solution 0.63 mg/3 mL (AG; Generic)
ASTHMA/COPD,Preferred,Albuterol Sulfate Nebulizer Solution 1.25 mg/3 mL (AG; Generic)
ASTHMA/COPD,Preferred,Albuterol Sulfate Nebulizer Solution 2.5 mg/3 mL (Generic)
ASTHMA/COPD,Preferred,Albuterol Sulfate Nebulizer Solution 100 mg/20 mL (Generic)
ASTHMA/COPD,Preferred,Albuterol Sulfate Nebulizer Solution 2.5 mg/0.5 mL (Generic)
ASTHMA/COPD,Preferred,Albuterol Sulfate MDI (AG; Generic for ProAir HFA)
ASTHMA/COPD,Preferred,Albuterol Sulfate MDI (AG; Generic for Proventil HFA)
ASTHMA/COPD,Preferred,Albuterol Sulfate MDI (AG for Ventolin HFA)
ASTHMA/COPD,Preferred,Salmeterol Xinafoate (Serevent Diskus)
ASTHMA/COPD,Preferred,Beclomethasone Breath-Actuated HFA (QVAR RediHaler)
ASTHMA/COPD,Preferred,"Budesonide Respules 0.25 mg, 0.5 mg, 1 mg (Generic)"
ASTHMA/COPD,Preferred,Budesonide/Formoterol MDI (AG; Generic)
ASTHMA/COPD,Preferred,Fluticasone Furoate Inhalation Powder (Arnuity Ellipta)
ASTHMA/COPD,Preferred,Fluticasone MDI (AG; Flovent HFA)
ASTHMA/COPD,Preferred,Fluticasone/Salmeterol DPI (AG; Generic for Advair Diskus)
ASTHMA/COPD,Preferred,Fluticasone/Salmeterol DPI (Wixela Inhub)
ASTHMA/COPD,Preferred,Fluticasone/Salmeterol MDI (AG for Advair HFA)
ASTHMA/COPD,Preferred,Fluticasone/Umeclidinium/Vilanterol (Trelegy Ellipta)
ASTHMA/COPD,Preferred,Mometasone Inhalation Powder (Asmanex Twisthaler)
ASTHMA/COPD,Preferred,Mometasone Furoate MDI (Asmanex HFA)
ASTHMA/COPD,Preferred,Mometasone/Formoterol MDI (Dulera)
ASTHMA/COPD,Preferred,Benralizumab Pen (Fasenra)
ASTHMA/COPD,Preferred,Benralizumab Syringe (Fasenra)
ASTHMA/COPD,Preferred,Omalizumab Autoinjector (Xolair)
ASTHMA/COPD,Preferred,Omalizumab Syringe (Xolair)
ASTHMA/COPD,Preferred,Omalizumab Vial (Xolair)
ASTHMA/COPD,Preferred,Montelukast Chewable Tablet (Generic)
ASTHMA/COPD,Preferred,Montelukast Tablet (Generic)
BOTULINUM TOXINS,Preferred,AbobotulinumtoxinA (Dysport)
BOTULINUM TOXINS,Preferred,OnabotulinumtoxinA (Botox)
COLONY STIMULATING FACTORS,Preferred,"Filgrastim Syringe, Vial (Neupogen)"
COLONY STIMULATING FACTORS,Preferred,Pegfilgrastim-jmdb Syringe (Fulphila)
COLONY STIMULATING FACTORS,Preferred,Pegfilgrastim-pbbk Syringe (Fylnetra)
DEPRESSION,Preferred,Bupropion HCl IR Tablet (Generic)
DEPRESSION,Preferred,Bupropion HCl SR 12-Hour Tablet (Generic)
DEPRESSION,Preferred,Bupropion HCl XL 24-Hour Tablet (Generic)
DEPRESSION,Preferred,Desvenlafaxine Succinate ER Tablet (AG; Generic)
DEPRESSION,Preferred,Mirtazapine ODT (Generic)
DEPRESSION,Preferred,Mirtazapine Tablet (Generic)
DEPRESSION,Preferred,Trazodone Tablet (Generic)
DEPRESSION,Preferred,Venlafaxine ER Capsule (Generic)
DEPRESSION,Preferred,Venlafaxine IR Tablet (Generic)
DEPRESSION,Preferred,"Citalopram Solution, Tablet (Generic)"
DEPRESSION,Preferred,Escitalopram Tablet (Generic)
DEPRESSION,Preferred,"Fluoxetine Capsule, Solution (Generic)"
DEPRESSION,Preferred,Fluvoxamine Maleate Tablet (Generic)
DEPRESSION,Preferred,Paroxetine Tablet (Generic)
DEPRESSION,Preferred,"Sertraline Concentrate, Tablet (Generic)"
DERMATOLOGY,Preferred,Mupirocin Ointment (Generic)
DERMATOLOGY,Preferred,"Ciclopirox Cream, 8% Solution (Generic)"
DERMATOLOGY,Preferred,Clotrimazole Rx Cream (Generic)
DERMATOLOGY,Preferred,Clotrimazole Rx Solution (Generic)
DERMATOLOGY,Preferred,Clotrimazole/Betamethasone Cream (Generic)
DERMATOLOGY,Preferred,Ketoconazole Cream (Generic)
DERMATOLOGY,Preferred,Ketoconazole Shampoo Rx (Generic)
DERMATOLOGY,Preferred,"Nystatin Cream, Ointment, Topical Powder (Generic)"
DERMATOLOGY,Preferred,Nystatin/Triamcinolone Cream (Generic)
DERMATOLOGY,Preferred,Nystatin/Triamcinolone Ointment (Generic)
DERMATOLOGY,Preferred,Permethrin Cream (Generic)
DERMATOLOGY,Preferred,Permethrin Cream (Generic)
DERMATOLOGY,Preferred,Permethrin Cream (Generic)
DERMATOLOGY,Preferred,Permethrin Cream (Generic)
DERMATOLOGY,Preferred,Permethrin Cream (Generic)
DERMATOLOGY,Preferred,Permethrin Cream (Generic)
DERMATOLOGY,Preferred,Permethrin Cream (Generic)
DERMATOLOGY,Preferred,Permethrin Cream (Generic)
DERMATOLOGY,Preferred,Permethrin Cream (Generic)
DERMATOLOGY,Preferred,Permethrin Cream (Generic)
DERMATOLOGY,Preferred,Permethrin Cream (Generic)
DERMATOLOGY,Preferred,Spinosad Suspension (AG for Natroba)
DERMATOLOGY,Preferred,Acitretin Capsule (AG; Generic)
DERMATOLOGY,Preferred,Calcipotriene Cream (Generic)
DERMATOLOGY,Preferred,Calcipotriene Solution (Generic)
DERMATOLOGY,Preferred,Acyclovir Ointment (Generic)
DERMATOLOGY,Preferred,Crisaborole Ointment (Eucrisa)
DERMATOLOGY,Preferred,Dupilumab Pen (Dupixent)
DERMATOLOGY,Preferred,Dupilumab Syringe (Dupixent)
DERMATOLOGY,Preferred,Pimecrolimus Cream (AG; Generic)
DERMATOLOGY,Preferred,Ruxolitinib Cream (Opzelura)
DERMATOLOGY,Preferred,Tacrolimus Ointment (AG; Generic)
DERMATOLOGY,Preferred,"Tralokinumab-ldrm Autoinjector, Syringe (Adbry)"
DERMATOLOGY,Preferred,"Ammonium Lactate Cream, Lotion (Generic)"
DERMATOLOGY,Preferred,Imiquimod 5% Cream Packet (Generic for Aldara)
DERMATOLOGY,Preferred,"Hydrocortisone Rectal Cream, Topical Cream (Generic)"
DERMATOLOGY,Preferred,Hydrocortisone Lotion (Generic)
DERMATOLOGY,Preferred,Hydrocortisone Ointment (Generic)
DERMATOLOGY,Preferred,Fluticasone Propionate Cream (Generic)
DERMATOLOGY,Preferred,Fluticasone Propionate Ointment (Generic)
DERMATOLOGY,Preferred,Mometasone Furoate Cream (Generic)
DERMATOLOGY,Preferred,Mometasone Furoate Ointment (Generic)
DERMATOLOGY,Preferred,Mometasone Furoate Solution (Generic)
DERMATOLOGY,Preferred,Betamethasone Dipropionate/Propylene Glycol Cream (Generic)
DERMATOLOGY,Preferred,Betamethasone Valerate Cream (Generic)
DERMATOLOGY,Preferred,Betamethasone Valerate Lotion (Generic)
DERMATOLOGY,Preferred,Betamethasone Valerate Ointment (Generic)
DERMATOLOGY,Preferred,Triamcinolone Acetonide Cream (Generic)
DERMATOLOGY,Preferred,Triamcinolone Acetonide Lotion (Generic)
DERMATOLOGY,Preferred,Triamcinolone Acetonide Ointment (Generic)
DERMATOLOGY,Preferred,Clobetasol Propionate Cream (Generic)
DERMATOLOGY,Preferred,Clobetasol Propionate Emollient (Generic)
DERMATOLOGY,Preferred,Clobetasol Propionate Gel (Generic)
DERMATOLOGY,Preferred,Clobetasol Propionate Ointment (Generic)
DERMATOLOGY,Preferred,Clobetasol Propionate Solution (Generic)
DERMATOLOGY,Preferred,Halobetasol Propionate Cream (Generic)
DERMATOLOGY,Preferred,Halobetasol Propionate Ointment (Generic)
DIABETES,Preferred,Acarbose (Generic)
DIABETES,Preferred,"Dasiglucagon Auto-Injector, Syringe (Zegalogue)"
DIABETES,Preferred,Glucagon Nasal (Baqsimi)
DIABETES,Preferred,"Glucagon, Human Recombinant Inj. Emergency Kit (Amphastar)"
DIABETES,Preferred,Dulaglutide Pen (Trulicity)
DIABETES,Preferred,Linagliptin Tablet (Tradjenta)
DIABETES,Preferred,Linagliptin/Metformin Tablet (Jentadueto)
DIABETES,Preferred,Semaglutide Pen (Ozempic)
DIABETES,Preferred,Semaglutide Tablet (Rybelsus)
DIABETES,Preferred,Sitagliptin Phosphate Tablet (Januvia)
DIABETES,Preferred,Sitagliptin Phosphate/Metformin Tablet (Janumet)
DIABETES,Preferred,Sitagliptin Phosphate/Metformin Tablet ER (Janumet XR)
DIABETES,Preferred,"Insulin Aspart Cartridge, Pen, Vial (AG)"
DIABETES,Preferred,"Insulin Aspart Protamine/Aspart Pen, Vial (AG)"
DIABETES,Preferred,"Insulin Glargine Pen, Vial (Generic; Lantus SoloStar; Lantus)"
DIABETES,Preferred,Insulin Vial OTC (Humulin N; Humulin R)
DIABETES,Preferred,"Insulin Regular 500 units/mL Pen, Vial (Humulin R U-500)"
DIABETES,Preferred,Insulin Isophane (NPH)/Insulin Regular Pen OTC (Humulin 70/30)
DIABETES,Preferred,Insulin Isophane (NPH)/Insulin Regular Vial OTC (Humulin 70/30)
DIABETES,Preferred,Insulin Lispro (AG for Humalog Junior KwikPen)
DIABETES,Preferred,Insulin Lispro Pen (AG for Humalog KwikPen U-100)
DIABETES,Preferred,Insulin Lispro Vial (AG for Humalog)
DIABETES,Preferred,Insulin Lispro Protamine/Insulin Lispro KwikPen (AG)
DIABETES,Preferred,Nateglinide (Generic)
DIABETES,Preferred,Repaglinide (Generic)
DIABETES,Preferred,Dapagliflozin Tablet (AG)
DIABETES,Preferred,Dapagliflozin/Metformin ER Tablet (AG)
DIABETES,Preferred,Empagliflozin Tablet (Jardiance)
DIABETES,Preferred,Empagliflozin/Metformin Tablet (Synjardy)
DIABETES,Preferred,"Glimepiride Tablet 1mg, 2mg, 4mg (Generic)"
DIABETES,Preferred,Glipizide Tablet (Generic)
DIABETES,Preferred,Glipizide ER Tablet (Generic)
DIABETES,Preferred,Glyburide Tablet (Generic)
DIABETES,Preferred,Glyburide Micronized Tablet (Generic)
DIABETES,Preferred,Pioglitazone Tablet (Generic)
DIABETES,Preferred,Glipizide-Metformin Tablet (Generic)
DIABETES,Preferred,Glyburide-Metformin Tablet (Generic)
DIABETES,Preferred,"Metformin Tablet 500mg, 850mg, 1000mg (Generic)"
DIABETES,Preferred,Metformin ER Tablet (Generic for Glucophage XR)
DIGESTIVE DISORDERS,Preferred,Meclizine Tablet (AG; Generic)
DIGESTIVE DISORDERS,Preferred,Metoclopramide Solution (Generic)
DIGESTIVE DISORDERS,Preferred,Metoclopramide Tablet (Generic)
DIGESTIVE DISORDERS,Preferred,Metoclopramide Vial (Generic)
DIGESTIVE DISORDERS,Preferred,"Ondansetron ODT 4mg, 8mg (Generic)"
DIGESTIVE DISORDERS,Preferred,Ondansetron Solution (Generic)
DIGESTIVE DISORDERS,Preferred,Ondansetron Tablet (Generic)
DIGESTIVE DISORDERS,Preferred,Ondansetron Vial (Generic)
DIGESTIVE DISORDERS,Preferred,Prochlorperazine Tablet (Generic)
DIGESTIVE DISORDERS,Preferred,Promethazine Ampule (Generic)
DIGESTIVE DISORDERS,Preferred,Promethazine Rectal 12.5 mg (Generic)
DIGESTIVE DISORDERS,Preferred,Promethazine Rectal 25 mg (Generic)
DIGESTIVE DISORDERS,Preferred,Promethazine Syrup (Generic)
DIGESTIVE DISORDERS,Preferred,Promethazine Tablet (Generic)
DIGESTIVE DISORDERS,Preferred,Promethazine Vial (Generic)
DIGESTIVE DISORDERS,Preferred,Scopolamine Transdermal (Generic)
DIGESTIVE DISORDERS,Preferred,Ursodiol 300 mg Capsule (Generic)
DIGESTIVE DISORDERS,Preferred,Ursodiol Tablet (Generic)
DIGESTIVE DISORDERS,Preferred,Famotidine Suspension (Generic)
DIGESTIVE DISORDERS,Preferred,Famotidine Tablet (Generic)
DIGESTIVE DISORDERS,Preferred,Pancrelipase (Creon)
DIGESTIVE DISORDERS,Preferred,Pancrelipase (Zenpep)
DIGESTIVE DISORDERS,Preferred,Esomeprazole Suspension (Generic)
DIGESTIVE DISORDERS,Preferred,"Lansoprazole Capsule, ODT (Generic)"
DIGESTIVE DISORDERS,Preferred,Omeprazole Capsule Rx (Generic)
DIGESTIVE DISORDERS,Preferred,Pantoprazole Tablet (Generic)
DIGESTIVE DISORDERS,Preferred,Balsalazide Capsule (Generic)
DIGESTIVE DISORDERS,Preferred,Mesalamine ER Capsule (AG; Generic for Apriso)
DIGESTIVE DISORDERS,Preferred,Mesalamine Suppositories (AG; Generic for Canasa)
DIGESTIVE DISORDERS,Preferred,Sulfasalazine Tablet (AG; Generic)
DIGESTIVE DISORDERS,Preferred,Sulfasalazine DR Tablet (AG)
"EPINEPHRINE, SELF-ADMINISTERED",Preferred,"Epinephrine 0.1 mg, 0.15mg, 0.3mg Auto-Injector (Auvi-Q)"
"EPINEPHRINE, SELF-ADMINISTERED",Preferred,Epinephrine 0.15 mg Auto-Injector (AG; Generic; EpiPen Jr)
"EPINEPHRINE, SELF-ADMINISTERED",Preferred,Epinephrine 0.3 mg Auto-Injector (AG; Generic; EpiPen)
"GI MOTILITY, CHRONIC",Preferred,Linaclotide Capsule (Linzess)
"GI MOTILITY, CHRONIC",Preferred,Lubiprostone Capsule (AG; Generic for Amitiza)
"GI MOTILITY, CHRONIC",Preferred,"Methylnaltrexone Syringe, Vial (Relistor)"
"GI MOTILITY, CHRONIC",Preferred,Plecanatide Tablet (Trulance)
"GLUCOCORTICOIDS, ORAL",Preferred,Budesonide EC Capsules (Generic)
"GLUCOCORTICOIDS, ORAL",Preferred,Dexamethasone Tablet (Generic)
"GLUCOCORTICOIDS, ORAL",Preferred,Hydrocortisone Tablet (Generic)
"GLUCOCORTICOIDS, ORAL",Preferred,Methylprednisolone Tablet Dose Pack (Generic)
"GLUCOCORTICOIDS, ORAL",Preferred,Prednisolone Sodium Phosphate Solution (Generic)
"GLUCOCORTICOIDS, ORAL",Preferred,Prednisolone Solution (Generic)
"GLUCOCORTICOIDS, ORAL",Preferred,Prednisone Tablet (Generic)
GOUT AGENTS,Preferred,"Allopurinol Tablet 100mg, 300mg (Generic)"
GOUT AGENTS,Preferred,Colchicine Tablet (AG; Generic)
GOUT AGENTS,Preferred,Febuxostat Tablet (Generic)
GOUT AGENTS,Preferred,Probenecid Tablet (Generic)
GOUT AGENTS,Preferred,Probenecid/Colchicine Tablet (Generic)
GROWTH DEFICIENCY,Preferred,"Somatropin Cartridge, Syringe (Genotropin)"
GROWTH DEFICIENCY,Preferred,Somatropin Pen (Norditropin FlexPro)
H. PYLORI TREATMENT,Preferred,Bismuth Subcitrate /Metronidazole/Tetracycline (Generic)
H. PYLORI TREATMENT,Preferred,Omeprazole/Amoxicillin/Rifabutin (Talicia)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,"Apixaban Dose Pack, Tablet (Eliquis)"
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Dabigatran Capsule (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,"Enoxaparin Syringe, Vial (AG; Generic)"
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Rivaroxaban Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Rivaroxaban Dose Pack (Xarelto Starter Pack)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Warfarin Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Aspirin/Dipyridamole ER Capsule (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Clopidogrel Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Dipyridamole Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Prasugrel Tablet (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Ticagrelor Tablet (Brilinta)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Benazepril (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Benazepril/HCTZ (Generic)
"HEART DISEASE, HYPERLIPIDEMIA",Preferred,Enalapril Solution (AG; Generic)
