id,ST,Product,Coverage Tag(s),capsule_name,Class,PDL Status,PDL Status Date,Scraper Status,Notes
33888,MS,Sofosbuvir / Velpatasvir,,Sofosbuvir / Velpatasvir,Hepatitis C Agents,Preferred,2025-09-01,Not Found by Scraper,
37662,MS,Tyblume,,Tyblume,Contraceptives Oral,Preferred,2025-09-01,Not Found by Scraper,
41028,MS,Xyntha,,Xyntha,Hemophilia Treatment,Preferred,2025-09-01,Not Found by Scraper,
42825,MS,Elelyso,,Elelyso,Enzyme Replacement Gauchers Disease,Preferred,2025-09-01,Not Found by Scraper,
44734,MS,Linzess,72 mcg,Linzess 72 mcg,GI Motility Chronic,Preferred,2025-09-01,Not Found by Scraper,
46616,MS,Flarex,ophthalmic suspension,Flarex ophthalmic suspension,Ophthalmics Antiinflammatories,Preferred,2025-09-01,Not Found by Scraper,
46623,MS,Maxidex,ophthalmic suspension,Maxidex ophthalmic suspension,Ophthalmics Antiinflammatories,Preferred,2025-09-01,Not Found by Scraper,
51938,MS,Femlyv,,Femlyv,Contraceptives Oral,Preferred,2025-09-01,Not Found by Scraper,
57325,MS,SPS,oral suspension,SPS oral suspension,Potassium Binders,Preferred,2025-09-01,Not Found by Scraper,
62490,MS,Nplate,,Nplate,Thrombopoiesis Stimulating Proteins,Preferred,2025-09-01,Not Found by Scraper,
70352,MS,CeQur Simplicity,,CeQur Simplicity,Insulin Pumps,Preferred,2025-09-01,Not Found by Scraper,
70988,MS,DexCom G6 Receiver,,DexCom G6 Receiver,Continuous Glucose Monitoring,Preferred,2025-09-01,Not Found by Scraper,
71040,MS,DexCom G6 Sensor,,DexCom G6 Sensor,Continuous Glucose Monitoring,Preferred,2025-09-01,Not Found by Scraper,
71093,MS,DexCom G7 Receiver,,DexCom G7 Receiver,Continuous Glucose Monitoring,Preferred,2025-09-01,Not Found by Scraper,
71303,MS,Freestyle Libre 2 Plus,,Freestyle Libre 2 Plus,Continuous Glucose Monitoring,Preferred,2025-09-01,Not Found by Scraper,
71355,MS,FreeStyle Libre 2 Reader,,FreeStyle Libre 2 Reader,Continuous Glucose Monitoring,Preferred,2025-09-01,Not Found by Scraper,
71407,MS,FreeStyle Libre 2 Sensor,,FreeStyle Libre 2 Sensor,Continuous Glucose Monitoring,Preferred,2025-09-01,Not Found by Scraper,
71460,MS,Freestyle Libre 3 Plus,,Freestyle Libre 3 Plus,Continuous Glucose Monitoring,Preferred,2025-09-01,Not Found by Scraper,
71512,MS,FreeStyle Libre 3 Sensor,,FreeStyle Libre 3 Sensor,Continuous Glucose Monitoring,Preferred,2025-09-01,Not Found by Scraper,
71564,MS,FreeStyle Libre 14 Day Reader,,FreeStyle Libre 14 Day Reader,Continuous Glucose Monitoring,Preferred,2025-09-01,Not Found by Scraper,
71616,MS,FreeStyle Libre 14 Day Sensor Kit,,FreeStyle Libre 14 Day Sensor Kit,Continuous Glucose Monitoring,Preferred,2025-09-01,Not Found by Scraper,
71668,MS,Freestyle Libre 14-Day,,Freestyle Libre 14-Day,Continuous Glucose Monitoring,Preferred,2025-09-01,Not Found by Scraper,
72086,MS,Omnipod 5,,Omnipod 5,Insulin Pumps,Preferred,2025-09-01,Not Found by Scraper,
72138,MS,Omnipod Dash,,Omnipod Dash,Insulin Pumps,Preferred,2025-09-01,Not Found by Scraper,
72190,MS,Omnipod Go,,Omnipod Go,Insulin Pumps,Preferred,2025-09-01,Not Found by Scraper,
72242,MS,One Touch Ultra 2 System,,One Touch Ultra 2 System,Blood Glucose Meters,Preferred,2025-09-01,Not Found by Scraper,
72346,MS,Onetouch Verio Flex System,,Onetouch Verio Flex System,Blood Glucose Meters,Preferred,2025-09-01,Not Found by Scraper,
72606,MS,True Metrix,,True Metrix,Blood Glucose Meters,Preferred,2025-09-01,Not Found by Scraper,
72658,MS,True Metrix Air,,True Metrix Air,Blood Glucose Meters,Preferred,2025-09-01,Not Found by Scraper,
72762,MS,V-Go 20,,V-Go 20,Insulin Pumps,Preferred,2025-09-01,Not Found by Scraper,
72814,MS,V-Go 30,,V-Go 30,Insulin Pumps,Preferred,2025-09-01,Not Found by Scraper,
72866,MS,V-Go 40,,V-Go 40,Insulin Pumps,Preferred,2025-09-01,Not Found by Scraper,
73349,MS,Donepezil,"5 mg, tablet","Donepezil 5 mg, tablet",Alzheimers Agents,Preferred,2025-09-01,Not Found by Scraper,
73484,MS,One Touch Ultra Test Strips,100 ct,One Touch Ultra Test Strips 100 ct,Blood Glucose Test Strips,Preferred,2025-09-01,Not Found by Scraper,
73485,MS,One Touch Ultra Test Strips,25 ct,One Touch Ultra Test Strips 25 ct,Blood Glucose Test Strips,Preferred,2025-09-01,Not Found by Scraper,
73486,MS,One Touch Ultra Test Strips,50 ct,One Touch Ultra Test Strips 50 ct,Blood Glucose Test Strips,Preferred,2025-09-01,Not Found by Scraper,
73640,MS,One Touch Verio Test Strips,100 ct,One Touch Verio Test Strips 100 ct,Blood Glucose Test Strips,Preferred,2025-09-01,Not Found by Scraper,
73641,MS,One Touch Verio Test Strips,25 ct,One Touch Verio Test Strips 25 ct,Blood Glucose Test Strips,Preferred,2025-09-01,Not Found by Scraper,
73642,MS,One Touch Verio Test Strips,50 ct,One Touch Verio Test Strips 50 ct,Blood Glucose Test Strips,Preferred,2025-09-01,Not Found by Scraper,
73818,MS,Duloxetine,"20 mg, 30 mg, 60 mg, generic Cymbalta, Neuropathic Pain","Duloxetine 20 mg, 30 mg, 60 mg, generic Cymbalta, Neuropathic Pain",Antidepressants Other,Preferred,2025-09-01,Not Found by Scraper,
73850,MS,True Metrix Test Strips,100 ct,True Metrix Test Strips 100 ct,Blood Glucose Test Strips,Preferred,2025-09-01,Not Found by Scraper,
73851,MS,True Metrix Test Strips,25 ct,True Metrix Test Strips 25 ct,Blood Glucose Test Strips,Preferred,2025-09-01,Not Found by Scraper,
73852,MS,True Metrix Test Strips,50 ct,True Metrix Test Strips 50 ct,Blood Glucose Test Strips,Preferred,2025-09-01,Not Found by Scraper,
78189,MS,Budesonide,"0.5 mg, respules (inhalation suspension)","Budesonide 0.5 mg, respules (inhalation suspension)",Glucocorticoids Inhaled,Preferred,2025-09-01,Not Found by Scraper,
78191,MS,Donepezil,"10 mg, tablet","Donepezil 10 mg, tablet",Alzheimers Agents,Preferred,2025-09-01,Not Found by Scraper,
79053,MS,Mekinist,,Mekinist,Oncology Oral Skin,Preferred,2025-09-01,Not Found by Scraper,
79105,MS,Tafinlar,,Tafinlar,Oncology Oral Skin,Preferred,2025-09-01,Not Found by Scraper,
79521,MS,Tykerb,,Tykerb,Oncology Oral Breast,Preferred,2025-09-01,Not Found by Scraper,
79574,MS,Tasigna,,Tasigna,Oncology Oral Hematologic,Preferred,2025-09-01,Not Found by Scraper,
80119,MS,Entresto,tablet,Entresto tablet,Angiotensin Modulator Combinations,Preferred,2025-09-01,Not Found by Scraper,
80873,MS,Feiba,,Feiba,Hemophilia Treatment,Preferred,2025-09-01,Not Found by Scraper,
80977,MS,Recombinate,,Recombinate,Hemophilia Treatment,Preferred,2025-09-01,Not Found by Scraper,
82811,MS,Janumet XR,ER tablet,Janumet XR ER tablet,Hypoglycemics Incretin Mimetics Enhancers,Preferred,2025-09-01,Not Found by Scraper,
83224,MS,Striverdi Respimat,aerosol inhalation solution,Striverdi Respimat aerosol inhalation solution,COPD Agents,Preferred,2025-09-01,Not Found by Scraper,
83277,MS,Serevent Diskus,aerosol inhalation powder,Serevent Diskus aerosol inhalation powder,COPD Agents,Preferred,2025-09-01,Not Found by Scraper,
6480,MS,Qelbree,,Qelbree,Stimulants and Related Agents,Non-Preferred,2025-09-01,Preferred,
7449,MS,Epinephrine (Generic Adrenaclick) 0.15mg,,Epinephrine (Generic Adrenaclick) 0.15mg,Self Injectable Epinephrine,Non-Preferred,2025-09-01,Preferred,
7500,MS,Epinephrine (Generic Adrenaclick) 0.3mg,,Epinephrine (Generic Adrenaclick) 0.3mg,Self Injectable Epinephrine,Non-Preferred,2025-09-01,Preferred,
20577,MS,Glyxambi,,Glyxambi,Hypoglycemics SGLT2,Non-Preferred,2025-09-01,Preferred,
21138,MS,Humalog,vial,Humalog vial,Hypoglycemics Insulin and Related Agents,Non-Preferred,2025-09-01,Preferred,
44733,MS,Olanzapine,vial,Olanzapine vial,Antipsychotics,Non-Preferred,2025-09-01,Preferred,
69165,MS,Nurtec ODT,Migraine Prophylaxis,Nurtec ODT Migraine Prophylaxis,Antimigraine Agents Acute Treatment,Non-Preferred,2025-09-01,Preferred,
74571,MS,Ziprasidone,Injectable,Ziprasidone Injectable,Antipsychotics,Non-Preferred,2025-09-01,Preferred,
4157,MS,Veltassa,,Veltassa,Potassium Binders,Non-Preferred,2025-09-01,Not Found by Scraper,
4208,MS,Sodium Polystyrene Sulfonate,,Sodium Polystyrene Sulfonate,Potassium Binders,Non-Preferred,2025-09-01,Not Found by Scraper,
5256,MS,Doptelet,,Doptelet,Thrombopoiesis Stimulating Proteins,Non-Preferred,2025-09-01,Not Found by Scraper,
5307,MS,Tavalisse,,Tavalisse,Thrombopoiesis Stimulating Proteins,Non-Preferred,2025-09-01,Not Found by Scraper,
5613,MS,SevenFACT,,SevenFACT,Hemophilia Treatment,Non-Preferred,2025-09-01,Not Found by Scraper,
6735,MS,Orladeyo,,Orladeyo,HAE Treatments,Non-Preferred,2025-09-01,Not Found by Scraper,
6786,MS,Ruconest,,Ruconest,HAE Treatments,Non-Preferred,2025-09-01,Not Found by Scraper,
9283,MS,Pancreaze,DR capsule,Pancreaze DR capsule,Pancreatic Enzymes,Non-Preferred,2025-09-01,Not Found by Scraper,
10836,MS,Adynovate,,Adynovate,Hemophilia Treatment,Non-Preferred,2025-09-01,Not Found by Scraper,
12978,MS,Auryxia,,Auryxia,Phosphate Binders,Non-Preferred,2025-09-01,Not Found by Scraper,
15222,MS,Cerdelga,,Cerdelga,Enzyme Replacement Gauchers Disease,Non-Preferred,2025-09-01,Not Found by Scraper,
15273,MS,Cerezyme 400 Units,,Cerezyme 400 Units,Enzyme Replacement Gauchers Disease,Non-Preferred,2025-09-01,Not Found by Scraper,
17415,MS,Eloctate,,Eloctate,Hemophilia Treatment,Non-Preferred,2025-09-01,Not Found by Scraper,
18078,MS,Epclusa,,Epclusa,Hepatitis C Agents,Non-Preferred,2025-09-01,Not Found by Scraper,
18741,MS,Esperoct,,Esperoct,Hemophilia Treatment,Non-Preferred,2025-09-01,Not Found by Scraper,
20832,MS,Harvoni,,Harvoni,Hepatitis C Agents,Non-Preferred,2025-09-01,Not Found by Scraper,
22821,MS,Jivi,,Jivi,Hemophilia Treatment,Non-Preferred,2025-09-01,Not Found by Scraper,
24147,MS,Lastacaft,,Lastacaft,Ophthalmics for Allergic Conjunctivitis,Non-Preferred,2025-09-01,Not Found by Scraper,
24198,MS,Ledipasvir / Sofosbuvir,,Ledipasvir / Sofosbuvir,Hepatitis C Agents,Non-Preferred,2025-09-01,Not Found by Scraper,
24861,MS,Lorbrena,,Lorbrena,Oncology Oral Lung,Non-Preferred,2025-09-01,Not Found by Scraper,
25116,MS,Lumigan,2.5 mL,Lumigan 2.5 mL,Ophthalmics Glaucoma Agents,Non-Preferred,2025-09-01,Not Found by Scraper,
25167,MS,Lumigan,5 mL,Lumigan 5 mL,Ophthalmics Glaucoma Agents,Non-Preferred,2025-09-01,Not Found by Scraper,
25218,MS,Lumigan,7.5 mL,Lumigan 7.5 mL,Ophthalmics Glaucoma Agents,Non-Preferred,2025-09-01,Not Found by Scraper,
27615,MS,Novoseven RT,,Novoseven RT,Hemophilia Treatment,Non-Preferred,2025-09-01,Not Found by Scraper,
30369,MS,Promacta,oral suspension,Promacta oral suspension,Thrombopoiesis Stimulating Proteins,Non-Preferred,2025-09-01,Not Found by Scraper,
31185,MS,Rebinyn,,Rebinyn,Hemophilia Treatment,Non-Preferred,2025-09-01,Not Found by Scraper,
31389,MS,Renvela,,Renvela,Phosphate Binders,Non-Preferred,2025-09-01,Not Found by Scraper,
33123,MS,Select-Ob + Dha,,Select-Ob + Dha,Prenatal Vitamins,Non-Preferred,2025-09-01,Not Found by Scraper,
33174,MS,Select-Ob Tab Chew,,Select-Ob Tab Chew,Prenatal Vitamins,Non-Preferred,2025-09-01,Not Found by Scraper,
33429,MS,Sevelamer,hydrochloride tablets,Sevelamer hydrochloride tablets,Phosphate Binders,Non-Preferred,2025-09-01,Not Found by Scraper,
33837,MS,Sodium Phenylbutyrate,tablet,Sodium Phenylbutyrate tablet,Urea Cycle Disorder,Non-Preferred,2025-09-01,Not Found by Scraper,
34245,MS,Sovaldi,,Sovaldi,Hepatitis C Agents,Non-Preferred,2025-09-01,Not Found by Scraper,
34653,MS,Stuart One Otc,,Stuart One Otc,Prenatal Vitamins,Non-Preferred,2025-09-01,Not Found by Scraper,
37101,MS,Tretten,,Tretten,Hemophilia Treatment,Non-Preferred,2025-09-01,Not Found by Scraper,
38580,MS,Viberzi,,Viberzi,GI Motility Chronic,Non-Preferred,2025-09-01,Not Found by Scraper,
39141,MS,Vitafol Fe+,,Vitafol Fe+,Prenatal Vitamins,Non-Preferred,2025-09-01,Not Found by Scraper,
39192,MS,Vitafol Nano,,Vitafol Nano,Prenatal Vitamins,Non-Preferred,2025-09-01,Not Found by Scraper,
39243,MS,Vitafol Tab Chew,,Vitafol Tab Chew,Prenatal Vitamins,Non-Preferred,2025-09-01,Not Found by Scraper,
39294,MS,Vitafol Ultra,,Vitafol Ultra,Prenatal Vitamins,Non-Preferred,2025-09-01,Not Found by Scraper,
39345,MS,Vitafol-Ob,,Vitafol-Ob,Prenatal Vitamins,Non-Preferred,2025-09-01,Not Found by Scraper,
39396,MS,Vitafol-Ob+Dha,,Vitafol-Ob+Dha,Prenatal Vitamins,Non-Preferred,2025-09-01,Not Found by Scraper,
39447,MS,Vitafol-One,,Vitafol-One,Prenatal Vitamins,Non-Preferred,2025-09-01,Not Found by Scraper,
39702,MS,Vosevi,,Vosevi,Hepatitis C Agents,Non-Preferred,2025-09-01,Not Found by Scraper,
41844,MS,Zepatier,,Zepatier,Hepatitis C Agents,Non-Preferred,2025-09-01,Not Found by Scraper,
43255,MS,Vpriv,,Vpriv,Enzyme Replacement Gauchers Disease,Non-Preferred,2025-09-01,Not Found by Scraper,
45528,MS,Yupelri,inhalation solution,Yupelri inhalation solution,COPD Agents,Non-Preferred,2025-09-01,Not Found by Scraper,
46617,MS,Ilevro,ophthalmic suspension,Ilevro ophthalmic suspension,Ophthalmics Antiinflammatories,Non-Preferred,2025-09-01,Not Found by Scraper,
46624,MS,Maxitrol,ophthalmic ointment,Maxitrol ophthalmic ointment,Ophthalmics Antibiotic Steroid Combinations,Non-Preferred,2025-09-01,Not Found by Scraper,
46625,MS,Maxitrol,ophthalmic suspension,Maxitrol ophthalmic suspension,Ophthalmics Antibiotic Steroid Combinations,Non-Preferred,2025-09-01,Not Found by Scraper,
46626,MS,Natacyn,ophthalmic suspension,Natacyn ophthalmic suspension,Ophthalmic Antifungals,Non-Preferred,2025-09-01,Not Found by Scraper,
46627,MS,Nevanac,ophthalmic suspension,Nevanac ophthalmic suspension,Ophthalmics Antiinflammatories,Non-Preferred,2025-09-01,Not Found by Scraper,
46629,MS,Tobradex ST,ophthalmic suspension,Tobradex ST ophthalmic suspension,Ophthalmics Antibiotic Steroid Combinations,Non-Preferred,2025-09-01,Not Found by Scraper,
46631,MS,Zerviate,ophthalmic solution,Zerviate ophthalmic solution,Ophthalmic Antihistamines,Non-Preferred,2025-09-01,Not Found by Scraper,
51926,MS,Fruzaqla,,Fruzaqla,Oncology Oral Other,Non-Preferred,2025-09-01,Not Found by Scraper,
54332,MS,Gattex,vial,Gattex vial,Gattex,Non-Preferred,2025-09-01,Not Found by Scraper,
54349,MS,Takhzyro,prefilled syringe,Takhzyro prefilled syringe,HAE Treatments,Non-Preferred,2025-09-01,Not Found by Scraper,
54350,MS,Takhzyro,vial,Takhzyro vial,HAE Treatments,Non-Preferred,2025-09-01,Not Found by Scraper,
57326,MS,SPS,enema,SPS enema,Potassium Binders,Non-Preferred,2025-09-01,Not Found by Scraper,
58441,MS,Crenessity,capsule,Crenessity capsule,Crenessity,Non-Preferred,2025-09-01,Not Found by Scraper,
58442,MS,Crenessity,oral solution,Crenessity oral solution,Crenessity,Non-Preferred,2025-09-01,Not Found by Scraper,
58448,MS,Opsynvi,tablet,Opsynvi tablet,PAH Agents Oral and Inhaled,Non-Preferred,2025-09-01,Not Found by Scraper,
58452,MS,Ryzneuta,prefilled syringe,Ryzneuta prefilled syringe,Colony Stimulating Factors,Non-Preferred,2025-09-01,Not Found by Scraper,
64174,MS,Hympavzi,auto-injector,Hympavzi auto-injector,Hemophilia Treatment,Non-Preferred,2025-09-01,Not Found by Scraper,
64852,MS,Erzofri,prefilled syringe,Erzofri prefilled syringe,Antipsychotics,Non-Preferred,2025-09-01,Not Found by Scraper,
73348,MS,Donepezil,"23 mg, tablet","Donepezil 23 mg, tablet",Alzheimers Agents,Non-Preferred,2025-09-01,Not Found by Scraper,
73819,MS,Duloxetine,"40 mg, generic Irenka, Neuropathic Pain","Duloxetine 40 mg, generic Irenka, Neuropathic Pain",Antidepressants Other,Non-Preferred,2025-09-01,Not Found by Scraper,
74433,MS,Gomekli,capsule,Gomekli capsule,Oncology Oral Other,Non-Preferred,2025-09-01,Not Found by Scraper,
74434,MS,Gomekli,soluble tablet,Gomekli soluble tablet,Oncology Oral Other,Non-Preferred,2025-09-01,Not Found by Scraper,
74527,MS,Neffy,nasal solution,Neffy nasal solution,Self Injectable Epinephrine,Non-Preferred,2025-09-01,Not Found by Scraper,
74570,MS,Lamotrigine,"ER, ODT","Lamotrigine ER, ODT",Anticonvulsants,Non-Preferred,2025-09-01,Not Found by Scraper,
78784,MS,Focalin,,Focalin,Stimulants and Related Agents,Non-Preferred,2025-09-01,Not Found by Scraper,
78836,MS,Focalin XR,,Focalin XR,Stimulants and Related Agents,Non-Preferred,2025-09-01,Not Found by Scraper,
79274,MS,Mayzent,,Mayzent,Multiple Sclerosis Agents,Non-Preferred,2025-09-01,Not Found by Scraper,
79469,MS,Piqray,,Piqray,Oncology Oral Breast,Non-Preferred,2025-09-01,Not Found by Scraper,
79886,MS,Diovan HCT,,Diovan HCT,Angiotensin Modulator Combinations,Non-Preferred,2025-09-01,Not Found by Scraper,
79995,MS,Exforge HCT,,Exforge HCT,Angiotensin Modulator Combinations,Non-Preferred,2025-09-01,Not Found by Scraper,
80047,MS,Exforge,,Exforge,Angiotensin Modulator Combinations,Non-Preferred,2025-09-01,Not Found by Scraper,
80118,MS,Entresto,sprinkle capsule,Entresto sprinkle capsule,Angiotensin Modulator Combinations,Non-Preferred,2025-09-01,Not Found by Scraper,
80575,MS,Lescol XL,,Lescol XL,Lipotropics Statins,Non-Preferred,2025-09-01,Not Found by Scraper,
80769,MS,Alhemo,,Alhemo,Hemophilia Treatment,Non-Preferred,2025-09-01,Not Found by Scraper,
80820,MS,Corifact,,Corifact,Hemophilia Treatment,Non-Preferred,2025-09-01,Not Found by Scraper,
80925,MS,Obizur,,Obizur,Hemophilia Treatment,Non-Preferred,2025-09-01,Not Found by Scraper,
81162,MS,Zortress,,Zortress,Immunosuppressives Oral,Non-Preferred,2025-09-01,Not Found by Scraper,
81309,MS,Cinryze,vial,Cinryze vial,HAE Treatments,Non-Preferred,2025-09-01,Not Found by Scraper,
81555,MS,Zomacton,Pediatric use,Zomacton Pediatric use,Growth Hormone,Non-Preferred,2025-09-01,Not Found by Scraper,
81556,MS,Zomacton,Adult use,Zomacton Adult use,Growth Hormone,Non-Preferred,2025-09-01,Not Found by Scraper,
81697,MS,Alogliptin Benzoate,tablet,Alogliptin Benzoate tablet,Hypoglycemics Incretin Mimetics Enhancers,Non-Preferred,2025-09-01,Not Found by Scraper,
81749,MS,Alogliptin / Metformin,tablet,Alogliptin / Metformin tablet,Hypoglycemics Incretin Mimetics Enhancers,Non-Preferred,2025-09-01,Not Found by Scraper,
81801,MS,Alogliptin / Pioglitazone,tablet,Alogliptin / Pioglitazone tablet,Hypoglycemics Incretin Mimetics Enhancers,Non-Preferred,2025-09-01,Not Found by Scraper,
81853,MS,Liraglutide,auto-injector,Liraglutide auto-injector,Hypoglycemics Incretin Mimetics Enhancers,Non-Preferred,2025-09-01,Not Found by Scraper,
82324,MS,Xenical,capsule,Xenical capsule,Weight Loss,Non-Preferred,2025-09-01,Not Found by Scraper,
82387,MS,Nexlizet,,Nexlizet,Lipotropics Other,Non-Preferred,2025-09-01,Not Found by Scraper,
82440,MS,Nexletol,tablet,Nexletol tablet,Lipotropics Other,Non-Preferred,2025-09-01,Not Found by Scraper,
82545,MS,Ezallor Sprinkle,sprinkle capsule,Ezallor Sprinkle sprinkle capsule,Lipotropics Statins,Non-Preferred,2025-09-01,Not Found by Scraper,
82597,MS,AtorvaliQ,oral suspension,AtorvaliQ oral suspension,Lipotropics Statins,Non-Preferred,2025-09-01,Not Found by Scraper,
82653,MS,Nesina,tablet,Nesina tablet,Hypoglycemics Incretin Mimetics Enhancers,Non-Preferred,2025-09-01,Not Found by Scraper,
82705,MS,Oseni,tablet,Oseni tablet,Hypoglycemics Incretin Mimetics Enhancers,Non-Preferred,2025-09-01,Not Found by Scraper,
82757,MS,Kazano,tablet,Kazano tablet,Hypoglycemics Incretin Mimetics Enhancers,Non-Preferred,2025-09-01,Not Found by Scraper,
82863,MS,Zituvio,tablet,Zituvio tablet,Hypoglycemics Incretin Mimetics Enhancers,Non-Preferred,2025-09-01,Not Found by Scraper,
83015,MS,Arformoterol Tartrate,inhalation nebulization solution,Arformoterol Tartrate inhalation nebulization solution,COPD Agents,Non-Preferred,2025-09-01,Not Found by Scraper,
83068,MS,Brovana,inhalation nebulization solution,Brovana inhalation nebulization solution,COPD Agents,Non-Preferred,2025-09-01,Not Found by Scraper,
83120,MS,Formoterol Fumarate,inhalation nebulization solution,Formoterol Fumarate inhalation nebulization solution,COPD Agents,Non-Preferred,2025-09-01,Not Found by Scraper,
83172,MS,Perforomist,inhalation nebulization solution,Perforomist inhalation nebulization solution,COPD Agents,Non-Preferred,2025-09-01,Not Found by Scraper,
83433,MS,Ohtuvayre,inhalation suspension,Ohtuvayre inhalation suspension,COPD Agents,Non-Preferred,2025-09-01,Not Found by Scraper,
83520,MS,Voranigo,tablet,Voranigo tablet,Oncology Oral Other,Non-Preferred,2025-09-01,Not Found by Scraper,
4616,MS,Metronidazole 0.75% Gel,,Metronidazole 0.75% Gel,Antibiotics Vaginal,Non-Preferred (Not Listed),2025-09-01,Preferred,
20169,MS,Galantamine,oral solution,Galantamine oral solution,Alzheimers Agents,Non-Preferred (Not Listed),2025-09-01,Preferred,
25779,MS,Memantine,oral solution,Memantine oral solution,Alzheimers Agents,Non-Preferred (Not Listed),2025-09-01,Preferred,
32358,MS,Rivastigmine,oral solution,Rivastigmine oral solution,Alzheimers Agents,Non-Preferred (Not Listed),2025-09-01,Preferred,
46615,MS,Austedo XR,titration pack,Austedo XR titration pack,Movement Disorders,Non-Preferred (Not Listed),2025-09-01,Preferred,
1046,MS,Secuado,,Secuado,Antipsychotics,Non-Preferred (Not Listed),2025-09-01,Non-Preferred,
14610,MS,Bydureon Bcise,,Bydureon Bcise,Hypoglycemics Incretin Mimetics Enhancers,Non-Preferred (Not Listed),2025-09-01,Non-Preferred,
18180,MS,Epivir HBV,oral solution,Epivir HBV oral solution,Hepatitis B Agents,Non-Preferred (Not Listed),2025-09-01,Non-Preferred,
18231,MS,Epivir HBV,tablet,Epivir HBV tablet,Hepatitis B Agents,Non-Preferred (Not Listed),2025-09-01,Non-Preferred,
24606,MS,Liqrev,,Liqrev,PAH Agents Oral and Inhaled,Non-Preferred (Not Listed),2025-09-01,Non-Preferred,
