pdl_name,status,therapeutic_class
CELLCEPT SUSPENSION,Preferred,IMMUNOSUPPRESSANT DRUGS
CIBINQO,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
CIMZIA,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
COMETRIQ,Preferred,IMMUNOSUPPRESSANT DRUGS
COPIKTRA,Preferred,IMMUNOSUPPRESSANT DRUGS
"COSENTYX, -UNO",Non-Preferred,IMMUNOSUPPRESSANT DRUGS
COTELLIC,Preferred,IMMUNOSUPPRESSANT DRUGS
cyclophosphamide generic,Preferred,IMMUNOSUPPRESSANT DRUGS
cyclosporine generic,Preferred,IMMUNOSUPPRESSANT DRUGS
DEPO-PROVERA 400mg/ml,Preferred,IMMUNOSUPPRESSANT DRUGS
DANZITEN,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
DAURISMO,Preferred,IMMUNOSUPPRESSANT DRUGS
DUPIXENT,Preferred,IMMUNOSUPPRESSANT DRUGS
EBGLYSS,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
ELIGARD,Preferred,IMMUNOSUPPRESSANT DRUGS
EMCYT,Preferred,IMMUNOSUPPRESSANT DRUGS
ENBREL,Preferred,IMMUNOSUPPRESSANT DRUGS
ENSPRYNG,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
ENTYVIO,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
ENVARSUS XR,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
ERLEADA,Preferred,IMMUNOSUPPRESSANT DRUGS
ERIVEDGE,Preferred,IMMUNOSUPPRESSANT DRUGS
erlotinib generic,Preferred,IMMUNOSUPPRESSANT DRUGS
ETOPOPHOS,Preferred,IMMUNOSUPPRESSANT DRUGS
etoposide capsules generic,Preferred,IMMUNOSUPPRESSANT DRUGS
etoposide inj. generic,Preferred,IMMUNOSUPPRESSANT DRUGS
everolimus tab (generic Afinitor),Preferred,IMMUNOSUPPRESSANT DRUGS
exemestane generic,Preferred,IMMUNOSUPPRESSANT DRUGS
FARESTON,Preferred,IMMUNOSUPPRESSANT DRUGS
FENSOLVI,Preferred,IMMUNOSUPPRESSANT DRUGS
FIRMAGON,Preferred,IMMUNOSUPPRESSANT DRUGS
FOTIVDA,Preferred,IMMUNOSUPPRESSANT DRUGS
FRUZAQLA,Preferred,IMMUNOSUPPRESSANT DRUGS
GAVRETO,Preferred,IMMUNOSUPPRESSANT DRUGS
GILOTRIF,Preferred,IMMUNOSUPPRESSANT DRUGS
HUMIRA,Preferred,IMMUNOSUPPRESSANT DRUGS
HYCAMTIN,Preferred,IMMUNOSUPPRESSANT DRUGS
IBRANCE CAPS,Preferred,IMMUNOSUPPRESSANT DRUGS
ICLUSIG,Preferred,IMMUNOSUPPRESSANT DRUGS
IDHIFA,Preferred,IMMUNOSUPPRESSANT DRUGS
ILARIS,Preferred,IMMUNOSUPPRESSANT DRUGS
imatinib generic,Preferred,IMMUNOSUPPRESSANT DRUGS
IMBRUVICA,Preferred,IMMUNOSUPPRESSANT DRUGS
IMKELDI,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
INQOVI,Preferred,IMMUNOSUPPRESSANT DRUGS
INREBIC,Preferred,IMMUNOSUPPRESSANT DRUGS
INLYTA,Preferred,IMMUNOSUPPRESSANT DRUGS
IRESSA,Preferred,IMMUNOSUPPRESSANT DRUGS
ITOVEBI,Preferred,IMMUNOSUPPRESSANT DRUGS
IWILFIN,Preferred,IMMUNOSUPPRESSANT DRUGS
JAKAFI,Preferred,IMMUNOSUPPRESSANT DRUGS
JAYPIRCA,Preferred,IMMUNOSUPPRESSANT DRUGS
JOENJA,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
JYLAMVO,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
KEVZARA,Preferred,IMMUNOSUPPRESSANT DRUGS
KINERET,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
KISQALI,Preferred,IMMUNOSUPPRESSANT DRUGS
KISQALI 200  PAK FEMARA,Preferred,IMMUNOSUPPRESSANT DRUGS
KOSELUGO,Preferred,IMMUNOSUPPRESSANT DRUGS
KRAZATI,Preferred,IMMUNOSUPPRESSANT DRUGS
LAZCLUZE,Preferred,IMMUNOSUPPRESSANT DRUGS
leflunomide generic,Preferred,IMMUNOSUPPRESSANT DRUGS
LENVIMA,Preferred,IMMUNOSUPPRESSANT DRUGS
letrozole generic,Preferred,IMMUNOSUPPRESSANT DRUGS
LEUKERAN,Preferred,IMMUNOSUPPRESSANT DRUGS
leuprolide 1mg/0.2ml (5mg/ml) injection generic,Preferred,IMMUNOSUPPRESSANT DRUGS
leuprolide 22.5mg injection (3 month) generic,Preferred,IMMUNOSUPPRESSANT DRUGS
LITFULO,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
LUMAKRAS,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
LUPKYNIS,Preferred,IMMUNOSUPPRESSANT DRUGS
LORBRENA,Preferred,IMMUNOSUPPRESSANT DRUGS
LONSURF,Preferred,IMMUNOSUPPRESSANT DRUGS
"LUPRON DEPOT 3.75MG, 7.5MG, 11.25MG, 
22.5MG, 30MG",Preferred,IMMUNOSUPPRESSANT DRUGS
LUPRON DEPOT 45MG,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
"LUPRON DEPOT PEDIATRIC 7.5MG, 15MG",Preferred,IMMUNOSUPPRESSANT DRUGS
"LUPRON DEPOT PEDIATRIC 11.25MG, 30MG",Non-Preferred,IMMUNOSUPPRESSANT DRUGS
LYNPARZA,Preferred,IMMUNOSUPPRESSANT DRUGS
LYSODREN,Preferred,IMMUNOSUPPRESSANT DRUGS
LYTGOBI,Preferred,IMMUNOSUPPRESSANT DRUGS
MATULANE,Preferred,IMMUNOSUPPRESSANT DRUGS
MEKINIST,Preferred,IMMUNOSUPPRESSANT DRUGS
MEKTOVI,Preferred,IMMUNOSUPPRESSANT DRUGS
MYCAPSSA,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
"mycophenolate mofetil caps, tabs generic",Preferred,IMMUNOSUPPRESSANT DRUGS
mycophenolate mofetil suspension generic,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
mycophenolic tab generic,Preferred,IMMUNOSUPPRESSANT DRUGS
MYLERAN,Preferred,IMMUNOSUPPRESSANT DRUGS
NEMLUVIO,Non-Preferred,IMMUNOSUPPRESSANT DRUGS
NERLYNX,Preferred,IMMUNOSUPPRESSANT DRUGS
NEXAVAR,Preferred,IMMUNOSUPPRESSANT DRUGS
nilutamide generic,Preferred,IMMUNOSUPPRESSANT DRUGS
NINLARO,Preferred,IMMUNOSUPPRESSANT DRUGS
NUBEQA,Preferred,IMMUNOSUPPRESSANT DRUGS
octreotide generic,Preferred,IMMUNOSUPPRESSANT DRUGS
ODOMZO,Preferred,IMMUNOSUPPRESSANT DRUGS
OGSIVEO,Preferred,IMMUNOSUPPRESSANT DRUGS
OJEMDA,Preferred,IMMUNOSUPPRESSANT DRUGS
OJJAARA,Preferred,IMMUNOSUPPRESSANT DRUGS
"OMVOH (auto-injector, prefilled syringe)",Non-Preferred,IMMUNOSUPPRESSANT DRUGS
ONUREG,Preferred,IMMUNOSUPPRESSANT DRUGS
ORSERDU,Preferred,IMMUNOSUPPRESSANT DRUGS
