therapeutic_class,capsule_name,pdl_name,Unnamed: 3
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adaz Crohn’s Disease (adult),ADALIMUMAB-ADAZ Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adaz Crohn’s Disease (pediatric),ADALIMUMAB-ADAZ Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adaz Hidradenitis Suppurativa,ADALIMUMAB-ADAZ Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adaz Plaque Psoriasis (adult),ADALIMUMAB-ADAZ Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adaz Polyarticular Juvenile Idiopathic Arthritis (PJIA),ADALIMUMAB-ADAZ Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adaz Psoriatic Arthritis (adult),ADALIMUMAB-ADAZ Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adaz Rheumatoid Arthritis,ADALIMUMAB-ADAZ Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adaz Ulcerative Colitis (adult),ADALIMUMAB-ADAZ Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adaz Uveitis (adult),ADALIMUMAB-ADAZ Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adbm Ankylosing Spondylitis,ADALIMUMAB-ADBM Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adbm Crohn’s Disease (adult),ADALIMUMAB-ADBM Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adbm Crohn’s Disease (adult),ADALIMUMAB-ADBM Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adbm Crohn’s Disease (pediatric),ADALIMUMAB-ADBM Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adbm Crohn’s Disease (pediatric),ADALIMUMAB-ADBM Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adbm Hidradenitis Suppurativa,ADALIMUMAB-ADBM Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adbm Plaque Psoriasis (adult),ADALIMUMAB-ADBM Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adbm Polyarticular Juvenile Idiopathic Arthritis (PJIA),ADALIMUMAB-ADBM Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adbm Psoriatic Arthritis (adult),ADALIMUMAB-ADBM Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adbm Rheumatoid Arthritis,ADALIMUMAB-ADBM Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adbm Ulcerative Colitis (adult),ADALIMUMAB-ADBM Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-adbm Uveitis (adult),ADALIMUMAB-ADBM Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-fkjp Ankylosing Spondylitis,ADALIMUMAB-FKJP Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-fkjp Crohn’s Disease (adult),ADALIMUMAB-FKJP Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-fkjp Crohn’s Disease (pediatric),ADALIMUMAB-FKJP Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-fkjp Hidradenitis Suppurativa,ADALIMUMAB-FKJP Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-fkjp Plaque Psoriasis (adult),ADALIMUMAB-FKJP Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-fkjp Polyarticular Juvenile Idiopathic Arthritis (PJIA),ADALIMUMAB-FKJP Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-fkjp Psoriatic Arthritis (adult),ADALIMUMAB-FKJP Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-fkjp Rheumatoid Arthritis,ADALIMUMAB-FKJP Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-fkjp Ulcerative Colitis (adult),ADALIMUMAB-FKJP Prefilled Syringe Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Adalimumab-fkjp Uveitis (adult),ADALIMUMAB-FKJP Prefilled Syringe Kit,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MONOCLONAL ANTIBODIES,Adbry Atopic Dermatitis (adult),ADBRY Solution Prefilled Syringe,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MONOCLONAL ANTIBODIES,Adbry Atopic Dermatitis (pediatric),ADBRY Solution Prefilled Syringe,
CARDIOVASCULAR AGENTS : PULMONARY HYPERTENSION,Adcirca,ADCIRCA Tablet,
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,Adderall XR ER capsule,ADDERALL XR Capsule Extended Release 24 Hour,
CARDIOVASCULAR AGENTS : PULMONARY HYPERTENSION,Adempas,ADEMPAS Tablet,
ANTIDIABETICS : INSULIN,Admelog,ADMELOG Solution,
ANTIDIABETICS : INSULIN,Admelog SoloStar,ADMELOG SOLOSTAR Solution Pen-injector,
THYROID AGENTS,Adthyza,ADTHYZA Tablet,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Advair Diskus,"ADVAIR DISKUS Aerosol Powder, Breath Activated",
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Advair HFA,ADVAIR HFA Aerosol,
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Advate,ADVATE Solution Reconstituted,
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Adynovate,ADYNOVATE Solution Reconstituted,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Afinitor Disperz,AFINITOR DISPERZ Tablet Soluble,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Afinitor tablet,AFINITOR Tablet,
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Afstyla,AFSTYLA Kit,
MIGRAINE PRODUCTS : CALCITONIN GENE-RELATED PEPTIDE (CGRP) RECEPTOR ANTAG,Aimovig,AIMOVIG Solution Auto-injector,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Airduo Digihaler,"AIRDUO DIGIHALER 113/14 Aerosol Powder, Breath Activated",
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Airduo Respiclick,"AIRDUO RESPICLICK 113/14 Aerosol Powder, Breath Activated",
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Airsupra HFA,AIRSUPRA Aerosol,
MIGRAINE PRODUCTS : CALCITONIN GENE-RELATED PEPTIDE (CGRP) RECEPTOR ANTAG,Ajovy,AJOVY Solution Prefilled Syringe,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC - HORMONAL AND RELATED AGENTS,Akeega,AKEEGA Tablet,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : BETA ADRENERGICS,Albuterol HFA generic PROAIR,"ALBUTEROL SULFATE HFA Aerosol, Solution",
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Alecensa,ALECENSA Capsule,
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Alprolix,ALPROLIX Solution Reconstituted,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Alunbrig,ALUNBRIG Tablet,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : STEROID INHALANTS,Alvesco,"ALVESCO Aerosol, Solution",
CARDIOVASCULAR AGENTS : PULMONARY HYPERTENSION,Alyq,ALYQ Tablet,
HYPNOTICS / SEDATIVES / SLEEP DISORDER AGENTS : NON - BENZODIAZEPINE HYPNOTICS,Ambien,AMBIEN Tablet,
HYPNOTICS / SEDATIVES / SLEEP DISORDER AGENTS : NON - BENZODIAZEPINE HYPNOTICS,Ambien CR,AMBIEN CR Tablet Extended-Release,
CARDIOVASCULAR AGENTS : PULMONARY HYPERTENSION,Ambrisentan,AMBRISENTAN Tablet,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Amjevita Ankylosing Spondylitis,AMJEVITA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Amjevita Crohn’s Disease (adult),AMJEVITA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Amjevita Crohn’s Disease (pediatric),AMJEVITA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Amjevita Hidradenitis Suppurativa,AMJEVITA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Amjevita Plaque Psoriasis (adult),AMJEVITA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Amjevita Polyarticular Juvenile Idiopathic Arthritis (PJIA),AMJEVITA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Amjevita Psoriatic Arthritis (adult),AMJEVITA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Amjevita Rheumatoid Arthritis,AMJEVITA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Amjevita Ulcerative Colitis (adult),AMJEVITA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Amjevita Uveitis (adult),AMJEVITA Solution Prefilled Syringe,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : CALCIUM CHANNEL BLOCKERS,Amlodipine tablet,AMLODIPINE BESYLATE Tablet,
MUSCULOSKELETAL THERAPY AGENTS,Amrix,AMRIX Capsule Extended Release 24 Hour,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MISC,Amvuttra,AMVUTTRA Solution Prefilled Syringe,
CONTRACEPTIVES : COMBINATION CONTRACEPTIVES,Annovera,ANNOVERA Ring,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Anoro Ellipta,"ANORO ELLIPTA Aerosol Powder, Breath Activated",
ANTIDIABETICS : INSULIN,Apidra,APIDRA Solution,
ANTIDIABETICS : INSULIN,Apidra SoloStar,APIDRA SOLOSTAR Solution Pen-injector,
ANTIDEPRESSANTS : MISC,Aplenzin,APLENZIN Tablet Extended Release 24 HR*,
ANTICONVULSANTS,Aptiom,APTIOM Tablet,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Aptivus,APTIVUS Capsule,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MISC,Aqneursa oral suspension,AQNEURSA Packet,
HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS,Aranesp,ARANESP ALBUMIN FREE Solution,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Arcalyst Cryopyrin Associated Periodic Syndromes (CAPS) including Familial Cold Autoinflammatory Syndrome (FCAS) and Muckle-Wells Syndrome (MWS),ARCALYST Solution Reconstituted,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Arcalyst Deficiency of Interleukin-1 Receptor Antagonist (DIRA),ARCALYST Solution Reconstituted,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Arcalyst Recurrent Pericarditis (RP),ARCALYST Solution Reconstituted,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : ANTIDEMENTIA AGENTS,Aricept,ARICEPT Tablet,
ANTIBIOTICS : AMINOGLYCOSIDES - INHALED,Arikayce,ARIKAYCE Suspension,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,Aripiprazole ODT,ARIPIPRAZOLE ODT Tablet Disintegrating,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,Aripiprazole oral solution,ARIPIPRAZOLE Solution,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,Aripiprazole tablet,ARIPIPRAZOLE Tablet,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,Aristada,ARISTADA Prefilled Syringe,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,Aristada Initio,ARISTADA INITIO Prefilled Syringe,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : STEROID INHALANTS,Armonair Digihaler,"ARMONAIR DIGIHALER Aerosol Powder, Breath Activated",
THYROID AGENTS,Armour Thyroid,ARMOUR THYROID Tablet,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : STEROID INHALANTS,Arnuity Ellipta,"ARNUITY ELLIPTA Aerosol Powder, Breath Activated",
ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES,Asenapine,ASENAPINE MALEATE SL Tablet Sublingual,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : STEROID INHALANTS,Asmanex HFA,ASMANEX HFA Aerosol,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : STEROID INHALANTS,Asmanex Twisthaler,"ASMANEX TWISTHALER 120 METERED DOSES Aerosol Powder, Breath Activated",
HEMATOLOGICAL AGENTS : PLATELET AGGREGATION INHIBITORS,Aspirin / Dipyridamole,ASPIRIN/DIPYRIDAMOLE Capsule Extended Release 12 Hour,
IMMUNOSUPPRESSIVE AGENTS,Astagraf XL ER capsule,ASTAGRAF XL Capsule Extended Release 24 Hour,
CARDIOVASCULAR AGENTS : MISC,Attruby tablet therapy pack,ATTRUBY Tablet Therapy Pack,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MULTIPLE SCLEROSIS AGENTS,Aubagio tablet,AUBAGIO Tablet,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Augtyro capsule,AUGTYRO Capsule,
GASTROINTESTINAL AGENTS : PHOSPHATE BINDER AGENTS,Auryxia,AURYXIA Tablet,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MISC,Austedo,AUSTEDO Tablet,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MISC,Austedo XR,AUSTEDO XR Tablet Extended Release 24 HR*,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MISC,Austedo XR titration pack,AUSTEDO XR PATIENT TITRATION KIT Tablet Extended Release Therapy Pack,
ANTIDEPRESSANTS : MISC,Auvelity,AUVELITY Tablet Extended-Release,
ANAPHYLAXIS THERAPY AGENTS,Auvi-Q 0.1 mg,AUVI-Q Solution Auto-injector,
ANAPHYLAXIS THERAPY AGENTS,Auvi-Q 0.15 mg,AUVI-Q Solution Auto-injector,
ANAPHYLAXIS THERAPY AGENTS,Auvi-Q 0.3 mg,AUVI-Q Solution Auto-injector,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MULTIPLE SCLEROSIS AGENTS,Avonex auto-injector,AVONEX PEN Auto-injector Kit,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MULTIPLE SCLEROSIS AGENTS,Avonex prefilled syringe,AVONEX Prefilled Syringe Kit,
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,Azstarys,AZSTARYS Capsule,
MUSCULOSKELETAL THERAPY AGENTS,Baclofen oral solution,BACLOFEN Solution,
MUSCULOSKELETAL THERAPY AGENTS,Baclofen tablet,BACLOFEN Tablet,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MULTIPLE SCLEROSIS AGENTS,Bafiertam,BAFIERTAM Capsule Delayed Release,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Balversa,BALVERSA Tablet,
ANTICONVULSANTS,Banzel oral suspension,BANZEL Suspension,
ANTICONVULSANTS,Banzel tablet,BANZEL Tablet,
ANTIVIRALS : HEPATITIS B AGENTS,Baraclude,BARACLUDE Tablet,
ANTIDIABETICS : INSULIN,Basaglar Kwikpen,BASAGLAR KWIKPEN Solution Pen-injector,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,Benazepril,BENAZEPRIL HYDROCHLORIDE Tablet,
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Benefix,BENEFIX Kit,
MISCELLANEOUS THERAPEUTIC CLASSES,Benlysta,BENLYSTA Solution Prefilled Syringe,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : BETA-BLOCKERS,Betapace,BETAPACE Tablet,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : BETA-BLOCKERS,Betapace AF,BETAPACE AF Tablet,
ANTIBIOTICS : AMINOGLYCOSIDES - INHALED,Bethkis,BETHKIS Nebulization Solution,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Bevespi Aerosphere,BEVESPI AEROSPHERE Aerosol,
ESTROGENS,Bijuva capsule,BIJUVA Capsule,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Biktarvy,BIKTARVY Tablet,
DERMATOLOGICALS : ANTIPSORIATICS,Bimzelx Ankylosing Spondylitis,BIMZELX Solution Prefilled Syringe,
DERMATOLOGICALS : ANTIPSORIATICS,Bimzelx Hidradenitis Suppurativa,BIMZELX Solution Prefilled Syringe,
DERMATOLOGICALS : ANTIPSORIATICS,Bimzelx Non-Radiographic Axial Spondyloarthritis,BIMZELX Solution Prefilled Syringe,
DERMATOLOGICALS : ANTIPSORIATICS,Bimzelx Plaque Psoriasis (adult),BIMZELX Solution Prefilled Syringe,
DERMATOLOGICALS : ANTIPSORIATICS,Bimzelx Psoriatic Arthritis (adult),BIMZELX Solution Prefilled Syringe,
CARDIOVASCULAR AGENTS : PULMONARY HYPERTENSION,Bosentan,BOSENTAN Tablet,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Breo Ellipta,"BREO ELLIPTA Aerosol Powder, Breath Activated",
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Breyna,BREYNA Aerosol,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Breztri Aerosphere,BREZTRI AEROSPHERE Aerosol,
HEMATOLOGICAL AGENTS : PLATELET AGGREGATION INHIBITORS,Brilinta,BRILINTA Tablet,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MULTIPLE SCLEROSIS AGENTS,Briumvi,BRIUMVI Solution,
ANTICONVULSANTS,Briviact oral solution,BRIVIACT Solution,
ANTICONVULSANTS,Briviact tablet,BRIVIACT Tablet,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Brukinsa,BRUKINSA Capsule,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : ADRENERGIC COMBINATIONS,Budesonide / Formoterol authorized generic Symbicort,BUDESONIDE/FORMOTEROL FUMARATE DIHYDRATE Aerosol,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : STEROID INHALANTS,Budesonide respules (inhalation suspension),BUDESONIDE Suspension,
ENDOCRINE AND METABOLIC AGENTS : MISC,Buphenyl powder,BUPHENYL Powder,
ENDOCRINE AND METABOLIC AGENTS : MISC,Buphenyl tablet,BUPHENYL Tablet,
ANTIDIABETICS : INCRETIN MIMETIC AGENTS (GLP-1 RECEPTOR AGONISTS),Bydureon Bcise,BYDUREON BCISE Auto-injector,
ANTIDIABETICS : INCRETIN MIMETIC AGENTS (GLP-1 RECEPTOR AGONISTS),Bydureon Pen,BYDUREON BCISE Auto-injector,
ANTIDIABETICS : INCRETIN MIMETIC AGENTS (GLP-1 RECEPTOR AGONISTS),Byetta,BYETTA Solution Pen-injector,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Calquence,CALQUENCE Tablet,
