Therapeutic Category,Brand Name,Generic Name,Min Age,Max Age,PA Required
"ANTIHYPERTENSIVES, ACE INHIBITORS",ENALAPRIL MALEATE 5 MG TABLET,ENALAPRIL MALEATE,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",FOSINOPRIL SODIUM 10 MG TAB,FOSINOPRIL SODIUM,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",FOSINOPRIL SODIUM 20 MG TAB,FOSINOPRIL SODIUM,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",FOSINOPRIL SODIUM 40 MG TAB,FOSINOPRIL SODIUM,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",LISINOPRIL 10 MG TABLET,LISINOPRIL,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",LISINOPRIL 2.5 MG TABLET,LISINOPRIL,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",LISINOPRIL 20 MG TABLET,LISINOPRIL,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",LISINOPRIL 30 MG TABLET,LISINOPRIL,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",LISINOPRIL 40 MG TABLET,LISINOPRIL,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",LISINOPRIL 5 MG TABLET,LISINOPRIL,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",QUINAPRIL 10 MG TABLET,QUINAPRIL HCL,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",QUINAPRIL 20 MG TABLET,QUINAPRIL HCL,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",QUINAPRIL 40 MG TABLET,QUINAPRIL HCL,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",QUINAPRIL 5 MG TABLET,QUINAPRIL HCL,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",RAMIPRIL 1.25 MG CAPSULE,RAMIPRIL,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",RAMIPRIL 10 MG CAPSULE,RAMIPRIL,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",RAMIPRIL 2.5 MG CAPSULE,RAMIPRIL,0,999,No
"ANTIHYPERTENSIVES, ACE INHIBITORS",RAMIPRIL 5 MG CAPSULE,RAMIPRIL,0,999,No
"ANTIHYPERTENSIVES, ANGIOTENSIN RECEPTOR ANTAGONIST",IRBESARTAN 150 MG TABLET,IRBESARTAN,0,999,No
"ANTIHYPERTENSIVES, ANGIOTENSIN RECEPTOR ANTAGONIST",IRBESARTAN 300 MG TABLET,IRBESARTAN,0,999,No
"ANTIHYPERTENSIVES, ANGIOTENSIN RECEPTOR ANTAGONIST",IRBESARTAN 75 MG TABLET,IRBESARTAN,0,999,No
"ANTIHYPERTENSIVES, ANGIOTENSIN RECEPTOR ANTAGONIST",LOSARTAN POTASSIUM 100 MG TAB,LOSARTAN POTASSIUM,0,999,No
"ANTIHYPERTENSIVES, ANGIOTENSIN RECEPTOR ANTAGONIST",LOSARTAN POTASSIUM 25 MG TAB,LOSARTAN POTASSIUM,0,999,No
"ANTIHYPERTENSIVES, ANGIOTENSIN RECEPTOR ANTAGONIST",LOSARTAN POTASSIUM 50 MG TAB,LOSARTAN POTASSIUM,0,999,No
"ANTIHYPERTENSIVES, ANGIOTENSIN RECEPTOR ANTAGONIST",OLMESARTAN MEDOXOMIL 20 MG TAB,OLMESARTAN MEDOXOMIL,0,999,No
"ANTIHYPERTENSIVES, ANGIOTENSIN RECEPTOR ANTAGONIST",OLMESARTAN MEDOXOMIL 40 MG TAB,OLMESARTAN MEDOXOMIL,0,999,No
"ANTIHYPERTENSIVES, ANGIOTENSIN RECEPTOR ANTAGONIST",OLMESARTAN MEDOXOMIL 5 MG TAB,OLMESARTAN MEDOXOMIL,0,999,No
"ANTIHYPERTENSIVES, ANGIOTENSIN RECEPTOR ANTAGONIST",TELMISARTAN 20 MG TABLET,TELMISARTAN,0,999,No
"ANTIHYPERTENSIVES, ANGIOTENSIN RECEPTOR ANTAGONIST",TELMISARTAN 40 MG TABLET,TELMISARTAN,0,999,No
"ANTIHYPERTENSIVES, ANGIOTENSIN RECEPTOR ANTAGONIST",TELMISARTAN 80 MG TABLET,TELMISARTAN,0,999,No
"ANTIHYPERTENSIVES, ANGIOTENSIN RECEPTOR ANTAGONIST",VALSARTAN 160 MG TABLET,VALSARTAN,1,999,No
"ANTIHYPERTENSIVES, ANGIOTENSIN RECEPTOR ANTAGONIST",VALSARTAN 320 MG TABLET,VALSARTAN,1,999,No
"ANTIHYPERTENSIVES, ANGIOTENSIN RECEPTOR ANTAGONIST",VALSARTAN 40 MG TABLET,VALSARTAN,1,999,No
"ANTIHYPERTENSIVES, ANGIOTENSIN RECEPTOR ANTAGONIST",VALSARTAN 80 MG TABLET,VALSARTAN,1,999,No
ANGIOTENSIN RECEPTOR BLOCKR-CALCIUM CHANNEL BLOCKR,AMLODIPINE-OLMESARTAN 10-20 MG,AMLODIPINE BES/OLMESARTAN MED,0,999,No
ANGIOTENSIN RECEPTOR BLOCKR-CALCIUM CHANNEL BLOCKR,AMLODIPINE-OLMESARTAN 10-40 MG,AMLODIPINE BES/OLMESARTAN MED,0,999,No
ANGIOTENSIN RECEPTOR BLOCKR-CALCIUM CHANNEL BLOCKR,AMLODIPINE-OLMESARTAN 5-20 MG,AMLODIPINE BES/OLMESARTAN MED,0,999,No
ANGIOTENSIN RECEPTOR BLOCKR-CALCIUM CHANNEL BLOCKR,AMLODIPINE-OLMESARTAN 5-40 MG,AMLODIPINE BES/OLMESARTAN MED,0,999,No
ANGIOTENSIN RECEPTOR BLOCKR-CALCIUM CHANNEL BLOCKR,AMLODIPINE-VALSARTAN 10-160 MG,AMLODIPINE BESYLATE/VALSARTAN,0,999,No
ANGIOTENSIN RECEPTOR BLOCKR-CALCIUM CHANNEL BLOCKR,AMLODIPINE-VALSARTAN 10-320 MG,AMLODIPINE BESYLATE/VALSARTAN,0,999,No
ANGIOTENSIN RECEPTOR BLOCKR-CALCIUM CHANNEL BLOCKR,AMLODIPINE-VALSARTAN 5-160 MG,AMLODIPINE BESYLATE/VALSARTAN,0,999,No
ANGIOTENSIN RECEPTOR BLOCKR-CALCIUM CHANNEL BLOCKR,AMLODIPINE-VALSARTAN 5-320 MG,AMLODIPINE BESYLATE/VALSARTAN,0,999,No
ANGIOTENSIN RECEPTOR ANTAG.-THIAZIDE DIURETIC COMB,IRBESARTAN-HCTZ 150-12.5 MG TB,IRBESARTAN/HYDROCHLOROTHIAZIDE,0,999,No
ANGIOTENSIN RECEPTOR ANTAG.-THIAZIDE DIURETIC COMB,IRBESARTAN-HCTZ 300-12.5 MG TB,IRBESARTAN/HYDROCHLOROTHIAZIDE,0,999,No
ANGIOTENSIN RECEPTOR ANTAG.-THIAZIDE DIURETIC COMB,LOSARTAN-HCTZ 100-12.5 MG TAB,LOSARTAN/HYDROCHLOROTHIAZIDE,0,999,No
ANGIOTENSIN RECEPTOR ANTAG.-THIAZIDE DIURETIC COMB,LOSARTAN-HCTZ 100-25 MG TAB,LOSARTAN/HYDROCHLOROTHIAZIDE,0,999,No
ANGIOTENSIN RECEPTOR ANTAG.-THIAZIDE DIURETIC COMB,LOSARTAN-HCTZ 50-12.5 MG TAB,LOSARTAN/HYDROCHLOROTHIAZIDE,0,999,No
ANGIOTENSIN RECEPTOR ANTAG.-THIAZIDE DIURETIC COMB,OLMESARTAN-HCTZ 20-12.5 MG TAB,OLMESARTAN/HYDROCHLOROTHIAZIDE,0,999,No
ANGIOTENSIN RECEPTOR ANTAG.-THIAZIDE DIURETIC COMB,OLMESARTAN-HCTZ 40-12.5 MG TAB,OLMESARTAN/HYDROCHLOROTHIAZIDE,0,999,No
ANGIOTENSIN RECEPTOR ANTAG.-THIAZIDE DIURETIC COMB,OLMESARTAN-HCTZ 40-25 MG TAB,OLMESARTAN/HYDROCHLOROTHIAZIDE,0,999,No
ANGIOTENSIN RECEPTOR ANTAG.-THIAZIDE DIURETIC COMB,TELMISARTAN-HCTZ 40-12.5 MG TB,TELMISARTAN/HYDROCHLOROTHIAZID,0,999,No
ANGIOTENSIN RECEPTOR ANTAG.-THIAZIDE DIURETIC COMB,TELMISARTAN-HCTZ 80-12.5 MG TB,TELMISARTAN/HYDROCHLOROTHIAZID,0,999,No
ANGIOTENSIN RECEPTOR ANTAG.-THIAZIDE DIURETIC COMB,TELMISARTAN-HCTZ 80-25 MG TAB,TELMISARTAN/HYDROCHLOROTHIAZID,0,999,No
ANGIOTENSIN RECEPTOR ANTAG.-THIAZIDE DIURETIC COMB,VALSARTAN-HCTZ 160-12.5 MG TAB,VALSARTAN/HYDROCHLOROTHIAZIDE,0,999,No
ANGIOTENSIN RECEPTOR ANTAG.-THIAZIDE DIURETIC COMB,VALSARTAN-HCTZ 160-25 MG TAB,VALSARTAN/HYDROCHLOROTHIAZIDE,0,999,No
ANGIOTENSIN RECEPTOR ANTAG.-THIAZIDE DIURETIC COMB,VALSARTAN-HCTZ 320-12.5 MG TAB,VALSARTAN/HYDROCHLOROTHIAZIDE,0,999,No
ANGIOTENSIN RECEPTOR ANTAG.-THIAZIDE DIURETIC COMB,VALSARTAN-HCTZ 320-25 MG TAB,VALSARTAN/HYDROCHLOROTHIAZIDE,0,999,No
ANGIOTENSIN RECEPTOR ANTAG.-THIAZIDE DIURETIC COMB,VALSARTAN-HCTZ 80-12.5 MG TAB,VALSARTAN/HYDROCHLOROTHIAZIDE,0,999,No
ACE INHIBITOR-THIAZIDE OR THIAZIDE-LIKE DIURETIC,BENAZEPRIL-HCTZ 10-12.5 MG TAB,BENAZEPRIL/HYDROCHLOROTHIAZIDE,0,999,No
ACE INHIBITOR-THIAZIDE OR THIAZIDE-LIKE DIURETIC,BENAZEPRIL-HCTZ 20-12.5 MG TAB,BENAZEPRIL/HYDROCHLOROTHIAZIDE,0,999,No
ACE INHIBITOR-THIAZIDE OR THIAZIDE-LIKE DIURETIC,BENAZEPRIL-HCTZ 20-25 MG TAB,BENAZEPRIL/HYDROCHLOROTHIAZIDE,0,999,No
ACE INHIBITOR-THIAZIDE OR THIAZIDE-LIKE DIURETIC,BENAZEPRIL-HCTZ 5-6.25 MG TAB,BENAZEPRIL/HYDROCHLOROTHIAZIDE,0,999,No
ACE INHIBITOR-THIAZIDE OR THIAZIDE-LIKE DIURETIC,ENALAPRIL-HCTZ 10-25 MG TABLET,ENALAPRIL/HYDROCHLOROTHIAZIDE,0,999,No
ACE INHIBITOR-THIAZIDE OR THIAZIDE-LIKE DIURETIC,ENALAPRIL-HCTZ 5-12.5 MG TAB,ENALAPRIL/HYDROCHLOROTHIAZIDE,0,999,No
ACE INHIBITOR-THIAZIDE OR THIAZIDE-LIKE DIURETIC,LISINOPRIL-HCTZ 10-12.5 MG TAB,LISINOPRIL/HYDROCHLOROTHIAZIDE,0,999,No
ACE INHIBITOR-THIAZIDE OR THIAZIDE-LIKE DIURETIC,LISINOPRIL-HCTZ 20-12.5 MG TAB,LISINOPRIL/HYDROCHLOROTHIAZIDE,0,999,No
ACE INHIBITOR-THIAZIDE OR THIAZIDE-LIKE DIURETIC,LISINOPRIL-HCTZ 20-25 MG TAB,LISINOPRIL/HYDROCHLOROTHIAZIDE,0,999,No
ACE INHIBITOR-THIAZIDE OR THIAZIDE-LIKE DIURETIC,QUINAPRIL-HCTZ 10-12.5 MG TAB,QUINAPRIL/HYDROCHLOROTHIAZIDE,0,999,No
ACE INHIBITOR-THIAZIDE OR THIAZIDE-LIKE DIURETIC,QUINAPRIL-HCTZ 20-12.5 MG TAB,QUINAPRIL/HYDROCHLOROTHIAZIDE,0,999,No
ACE INHIBITOR-THIAZIDE OR THIAZIDE-LIKE DIURETIC,QUINAPRIL-HCTZ 20-25 MG TAB,QUINAPRIL/HYDROCHLOROTHIAZIDE,0,999,No
ACE INHIBITOR-CALCIUM CHANNEL BLOCKER COMBINATION,AMLODIPINE-BENAZEPRIL 10-20 MG,AMLODIPINE BESYLATE/BENAZEPRIL,0,999,No
ACE INHIBITOR-CALCIUM CHANNEL BLOCKER COMBINATION,AMLODIPINE-BENAZEPRIL 10-40 MG,AMLODIPINE BESYLATE/BENAZEPRIL,0,999,No
ACE INHIBITOR-CALCIUM CHANNEL BLOCKER COMBINATION,AMLODIPINE-BENAZEPRIL 2.5-10,AMLODIPINE BESYLATE/BENAZEPRIL,0,999,No
ACE INHIBITOR-CALCIUM CHANNEL BLOCKER COMBINATION,AMLODIPINE-BENAZEPRIL 5-10 MG,AMLODIPINE BESYLATE/BENAZEPRIL,0,999,No
ACE INHIBITOR-CALCIUM CHANNEL BLOCKER COMBINATION,AMLODIPINE-BENAZEPRIL 5-20 MG,AMLODIPINE BESYLATE/BENAZEPRIL,0,999,No
ACE INHIBITOR-CALCIUM CHANNEL BLOCKER COMBINATION,AMLODIPINE-BENAZEPRIL 5-40 MG,AMLODIPINE BESYLATE/BENAZEPRIL,0,999,No
ANGIOTENSIN RECEPT-NEPRILYSIN INHIBITOR COMB(ARNI),ENTRESTO 24 MG-26 MG TABLET,SACUBITRIL/VALSARTAN,1,999,No
ANGIOTENSIN RECEPT-NEPRILYSIN INHIBITOR COMB(ARNI),ENTRESTO 49 MG-51 MG TABLET,SACUBITRIL/VALSARTAN,1,999,No
ANGIOTENSIN RECEPT-NEPRILYSIN INHIBITOR COMB(ARNI),ENTRESTO 97 MG-103 MG TABLET,SACUBITRIL/VALSARTAN,1,999,No
ANGIOTEN.RECEPTR ANTAG-CALCIUM CHANL BLKR-THIAZIDE,AMLOD-VALSA-HCTZ 10-160-12.5MG,AMLODIPINE/VALSARTAN/HCTHIAZID,0,999,No
ANGIOTEN.RECEPTR ANTAG-CALCIUM CHANL BLKR-THIAZIDE,AMLOD-VALSA-HCTZ 10-160-25 MG,AMLODIPINE/VALSARTAN/HCTHIAZID,0,999,No
ANGIOTEN.RECEPTR ANTAG-CALCIUM CHANL BLKR-THIAZIDE,AMLOD-VALSA-HCTZ 10-320-25 MG,AMLODIPINE/VALSARTAN/HCTHIAZID,0,999,No
ANGIOTEN.RECEPTR ANTAG-CALCIUM CHANL BLKR-THIAZIDE,AMLOD-VALSA-HCTZ 5-160-12.5 MG,AMLODIPINE/VALSARTAN/HCTHIAZID,0,999,No
ANGIOTEN.RECEPTR ANTAG-CALCIUM CHANL BLKR-THIAZIDE,AMLOD-VALSA-HCTZ 5-160-25 MG,AMLODIPINE/VALSARTAN/HCTHIAZID,0,999,No
"VASODILATORS,CORONARY",ISOSORBIDE DINITRATE 10 MG TAB,ISOSORBIDE DINITRATE,0,999,No
"VASODILATORS,CORONARY",ISOSORBIDE DINITRATE 20 MG TAB,ISOSORBIDE DINITRATE,0,999,No
"VASODILATORS,CORONARY",ISOSORBIDE DINITRATE 30 MG TAB,ISOSORBIDE DINITRATE,0,999,No
"VASODILATORS,CORONARY",ISOSORBIDE DINITRATE 40 MG TAB,ISOSORBIDE DINITRATE,0,999,No
"VASODILATORS,CORONARY",ISOSORBIDE DINITRATE 5 MG TAB,ISOSORBIDE DINITRATE,0,999,No
"VASODILATORS,CORONARY",ISOSORBIDE MONONIT 10 MG TAB,ISOSORBIDE MONONITRATE,0,999,No
"VASODILATORS,CORONARY",ISOSORBIDE MONONIT 20 MG TAB,ISOSORBIDE MONONITRATE,0,999,No
"VASODILATORS,CORONARY",ISOSORBIDE MONONIT ER 120 MG,ISOSORBIDE MONONITRATE,0,999,No
"VASODILATORS,CORONARY",ISOSORBIDE MONONIT ER 30 MG TB,ISOSORBIDE MONONITRATE,0,999,No
"VASODILATORS,CORONARY",ISOSORBIDE MONONIT ER 60 MG TB,ISOSORBIDE MONONITRATE,0,999,No
"VASODILATORS,CORONARY",NITROGLYCERIN 0.1 MG/HR PATCH,NITROGLYCERIN,0,999,No
"VASODILATORS,CORONARY",NITROGLYCERIN 0.2 MG/HR PATCH,NITROGLYCERIN,0,999,No
"VASODILATORS,CORONARY",NITROGLYCERIN 0.3 MG TABLET SL,NITROGLYCERIN,0,999,No
"VASODILATORS,CORONARY",NITROGLYCERIN 0.4 MG TABLET SL,NITROGLYCERIN,0,999,No
"VASODILATORS,CORONARY",NITROGLYCERIN 0.4 MG/HR PATCH,NITROGLYCERIN,0,999,No
"VASODILATORS,CORONARY",NITROGLYCERIN 0.6 MG TABLET SL,NITROGLYCERIN,0,999,No
"VASODILATORS,CORONARY",NITROGLYCERIN 0.6 MG/HR PATCH,NITROGLYCERIN,0,999,No
BRADYKININ B2 RECEPTOR ANTAGONISTS,FIRAZYR 30 MG/3 ML SYRINGE,ICATIBANT ACETATE,18,999,Error
CALCIUM CHANNEL BLOCKING AGENTS,AMLODIPINE BESYLATE 10 MG TAB,AMLODIPINE BESYLATE,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,AMLODIPINE BESYLATE 2.5 MG TAB,AMLODIPINE BESYLATE,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,AMLODIPINE BESYLATE 5 MG TAB,AMLODIPINE BESYLATE,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 120 MG TABLET,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 12HR ER 120 MG CAP,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 12HR ER 60 MG CAP,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 12HR ER 90 MG CAP,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 24H ER(CD) 120 MG CP,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 24H ER(CD) 180 MG CP,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 24H ER(CD) 240 MG CP,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 24H ER(CD) 300 MG CP,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 24H ER(CD) 360 MG CP,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 24H ER(LA) 120 MG TB,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 24H ER(LA) 180 MG TB,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 24H ER(LA) 240 MG TB,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 24H ER(LA) 300 MG TB,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 24H ER(LA) 360 MG TB,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 24H ER(LA) 420 MG TB,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 24H ER(XR) 120 MG CP,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 24H ER(XR) 180 MG CP,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 24H ER(XR) 240 MG CP,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 24HR ER 120 MG CAP,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 24HR ER 180 MG CAP,DILTIAZEM HCL,0,999,No
CALCIUM CHANNEL BLOCKING AGENTS,DILTIAZEM 24HR ER 240 MG CAP,DILTIAZEM HCL,0,999,No
