ST,Class
AL,Urinary Anti-infectives
AL,Alzheimer’s Agents
AL,Antidepressants
AL,"Anxiolytics, Sedatives, and Hypnotics: Barbiturates"
AL,"Anxiolytics, Sedatives, and Hypnotics: Benzodiazepines"
AL,"Anxiolytics, Sedatives, and Hypnotics: Miscellaneous Agents"
AL,Cerebral Stimulants/ Agents Used for ADHD (Short- and Intermediate-Acting)
AL,Cerebral Stimulants/ Agents Used for ADHD (Long-Acting)
AL,Orexin Receptor Antagonists
AL,Wakefulness Promoting Agents
AL,ACE Inhibitors
AL,Alpha-Adrenergic Blocking Agents
AL,Angiotensin II Receptor Antagonists
AL,Antiarrhythmic Agents
AL,Oral Anticoagulants
AL,Beta-Adrenergic Blocking Agents
AL,Calcium-Channel Blocking Agents
AL,Cardiotonic Agents
AL,Central Alpha-Agonists
AL,Direct Vasodilators
AL,Diuretics
AL,Vasopressin Antagonists
AL,Mineralocorticoid (Aldosterone) Receptor Antagonists
AL,Miscellaneous Cardiac Drugs
AL,Misc. Hypotensive Agents
AL,Nitrates and Nitrites
AL,"Platelet-aggregation Inhibitors/ Vasodilating Agents, Misc"
AL,"Renin-Angiotensin-Aldosterone System Inhibitors, Misc"
AL,Renin Inhibitors
AL,Bile Acid Sequestrants
AL,Cholesterol Absorption Inhibitors
AL,Fibric Acid Derivatives
AL,HMG-CoA Reductase Inhibitors
AL,Miscellaneous Antilipemic Agents
AL,Proprotein Convertase Subtilisin Kexin Type 9 (PCSK9) Inhibitors
AL,Alpha-Glucosidase Inhibitors
AL,Amylinomimetics
AL,"Antidiabetic Agents, Miscellaneous"
AL,Biguanides
AL,Dipeptidyl Peptidase-4 (DPP-4) Inhibitors
AL,Incretin Mimetics
AL,Insulins
AL,Meglitinides
AL,Sodium-glucose Co-transporter 2 Inhibitor
AL,Sulfonylureas
AL,Thiazolidinediones
AL,Therapeutics Immunomodulators/ Disease-Modifying Antirheumatic Agents
AL,Antiallergic Agents
AL,Antibacterials
AL,Intranasal Corticosteroids
AL,Vasoconstrictors
AL,5-HT3 Receptor Antagonists
AL,Antiemetic Antihistamines
AL,Neurokinin-1 Receptor Antagonists
AL,Miscellaneous Antiemetics
AL,Antiulcer Agents and Acid Suppressants
AL,Genitourinary Smooth Muscle Relaxants: Antimuscarinics
AL,Genitourinary Smooth Muscle Relaxants: Beta-3 Adrenergic Agonists
AL,Growth Hormone Agents
AL,Androgens
AL,Complement Inhibitors for the Treatment of Hereditary Angioedema (HAE)
AL,Immunomodulatory Agents used to treat MS
AL,Centrally Acting Skeletal Muscle Relaxants
AL,Calcitonin Gene-related Peptide (CGRP) Antagonists
AL,Direct-Acting Skeletal Muscle Relaxants
AL,GABA-derivative Skeletal Muscle Relaxants
AL,Miscellaneous Skeletal Muscle Relaxants
AL,Opiate Agonists
AL,Opiate Agonists (continued)
AL,Opiate Partial Agonists
AL,Selective Serotonin Agonists
AL,Asthma and Allergy Monoclonal Antibodies
AL,Inhaled Antimuscarinics
AL,Inhaled Mast-Cell Stabilizers
AL,Leukotriene Modifiers
AL,Respiratory Corticosteroids
AL,Respiratory Beta-Adrenergic Agonists
AL,Respiratory Smooth Muscle Relaxants
AL,Corticosteroids
AL,Antipruritics and Local Anesthetics
AL,Antivirals
AL,Immunomodulatory Agents
AL,Janus Kinase Inhibitors
AL,Keratolytic Agents
AL,Miscellaneous Local Anti-infectives
AL,Miscellaneous Skin and Mucous Membrane Agents
AL,Phosphodiesterase-4 Inhibitors
AL,Scabicides and Pediculicides
AL,Estrogens/Treatments for menopausal symptoms
AL,Prenatal Vitamins
AL,Prenatal Vitamins (continued)
CT,ANTIEMETIC / ANTIVERTIGO AGENTS
CT,"ANTIFUNGALS, ORAL"
CT,"ANTIFUNGALS, TOPICAL"
CT,"ANTIHISTAMINES, MINIMALLY SEDATING"
CT,"ANTIHYPERTENSIVES, SYMPATHOLYTICS"
CT,ANTIHYPERURICEMICS
CT,"ANTIMIGRAINE AGENTS, OTHER"
CT,"ACNE AGENTS, TOPICAL (SEE DX CODE REQ.) ‡"
CT,ALZHEIMER'S AGENTS
CT,"ANALGESICS, NARCOTICS SHORT"
CT,ANDROGENIC AGENTS
CT,ANGIOTENSIN MODULATORS
CT,"ANTIMIGRAINE AGENTS, TRIPTANS ‡"
CT,"ANTIPARASITICS, TOPICAL"
CT,ANTIPARKINSON'S AGENTS
CT,"ANTIPSORIATICS, ORAL"
CT,"ANTIPSORIATICS, TOPICAL"
CT,ANTIPSYCHOTICS
CT,"ANGIOTENSIN MODULATORS, CONT."
CT,ANGIOTENSIN MODULATOR COMBINATIONS
CT,ANTHELMINTICS
CT,"ANTI-ALLERGENS, ORAL"
CT,"ANTIBIOTICS, GI"
CT,"ANTIBIOTICS, INHALED"
CT,"ANTIBIOTICS, TOPICAL"
CT,"ANTIBIOTICS, VAGINAL"
CT,ANTICOAGULANTS
CT,"ANTIPSYCHOTICS, CONT."
CT,"ANTIVIRALS, ORAL"
CT,"ANTIVIRALS, TOPICAL"
CT,ANXIOLYTICS
CT,BETA-BLOCKERS
CT,BILE SALTS
CT,ANTICONVULSANTS
CT,"ANTIDEPRESSANTS, OTHER"
CT,"ANTIDEPRESSANTS, SSRIs"
CT,BLADDER RELAXANT PREPARATIONS
CT,BONE RESORPTION SUPPRESSION & RELATED AGENTS
CT,BOTULINUM TOXINS
CT,BPH TREATMENTS (SEE DX CODE REQ.)
CT,"BRONCHODILATORS, BETA AGONIST"
CT,CALCIUM CHANNEL BLOCKERS
CT,CEPHALOSPORINS AND RELATED ANTIBIOTICS
CT,COLONY STIMULATING FACTORS
CT,"CONTRACEPTIVES, ORAL"
CT,"CONTRACEPTIVES, ORAL, CONT."
CT,"CONTRACEPTIVES, OTHER"
CT,COPD AGENTS
CT,"COPD AGENTS, CONT."
CT,CYTOKINE & CAM ANTAGONISTS ‡
CT,EMOLLIENTS
CT,"ENZYME REPLACEMENT, GAUCHERS DISEASE"
CT,"EPINEPHRINE, SELF-INJECTED"
CT,ERYTHROPOIESIS STIMULATING PROTEINS
CT,"FLUOROQUINOLONES, ORAL"
CT,"GI MOTILITY, CHRONIC"
CT,GLUCAGON AGENTS
CT,"GLUCAGON AGENTS, CONT."
CT,"GLUCOCORTICOIDS, INHALED"
CT,"GLUCOCORTICOIDS, ORAL"
CT,GROWTH FACTORS
CT,GROWTH HORMONE
CT,H. PYLORI TREATMENT
CT,HEMOPHILIA TREATMENT
CT,HEPATITIS C AGENTS
CT,HISTAMINE II RECEPTOR BLOCKER
CT,"HYPOGLYCEMICS, ALPHA-GLUCOSIDASE INHIBITORS"
CT,"LYCEMICS, INCRETIN MIMETICS/ENHANCERS (SEE DX CODE"
CT,"HYPOGLYCEMICS, INSULIN & RELATED AGENTS"
CT,"HYPOGLYCEMICS, METFORMINS"
CT,"HYPOGLYCEMICS, SGLT2"
CT,"HYPOGLYCEMICS, TZD"
CT,IDIOPATHIC PULMONARY FIBROSIS
CT,"IMMUNOMODULATORS, ASTHMA"
CT,"IMMUNOMODULATORS, ATOPIC DERMATITIS"
CT,"IMMUNOMODULATORS, TOPICAL"
CT,"IMMUNOSUPPRESSIVES, ORAL"
CT,INTRANASAL RHINITIS AGENTS
CT,"IRON, ORAL"
CT,LEUKOTRIENE MODIFIERS
CT,"LIPOTROPICS, OTHER"
CT,"LIPOTROPICS, STATINS ‡"
CT,MACROLIDES/KETOLIDES
CT,METHOTREXATE
CT,MOVEMENT DISORDERS
CT,MULTIPLE SCLEROSIS AGENTS
CT,NEUROPATHIC PAIN
CT,NSAIDS
CT,"ONCOLOGY, ORAL - BREAST"
CT,"ONCOLOGY, ORAL - HEMATOLOGIC"
CT,"ONCOLOGY, ORAL - LUNG"
CT,"ONCOLOGY, ORAL - LUNG, CONT."
CT,"ONCOLOGY, ORAL - OTHER"
CT,"ONCOLOGY, ORAL - PROSTATE"
CT,"ONCOLOGY, ORAL - RENAL CELL"
CT,"ONCOLOGY, ORAL - SKIN"
CT,OPHTHALMICS FOR ALLERGIC CONJUNCTIVITIS
CT,OPHTHALMIC ANTIBIOTICS
CT,OPHTHALMIC ANTIBIOTIC-STEROID COMBINATIONS
CT,"OPHTHALMIC, ANTI-INFLAMMATORIES"
CT,"OPHTHALMIC, ANTI-INFLAMMATORY/IMMUNOMODULATOR"
CT,"OPHTHALMICS, GLAUCOMA AGENTS"
CT,OPIATE DEPENDENCE TREATMENTS
CT,OTIC ANTIBIOTICS
CT,OTIC ANTI-INFECTIVES & ANESTHETICS
CT,"PAH AGENTS, ORAL AND INHALED (SEE DX CODE REQ.)"
CT,PANCREATIC ENZYMES
CT,PHOSPHATE BINDERS
CT,"PITUITARY SUPPRESSIVE AGENTS, LHRH"
CT,PLATELET AGGREGATION INHIBITORS
CT,POTASSIUM BINDERS
CT,PRENATAL VITAMINS
CT,PROGESTATIONAL AGENTS
CT,SEDATIVE HYPNOTICS
CT,SICKLE CELL ANEMIA TREATMENTS
CT,SKELETAL MUSCLE RELAXANTS
CT,SMOKING CESSATION
CT,"STEROIDS, TOPICAL HIGH POTENCY"
CT,"STEROIDS, TOPICAL LOW POTENCY"
CT,"STEROIDS, TOPICAL MEDIUM POTENCY"
CT,"STEROIDS, TOPICAL VERY HIGH POTENCY"
CT,STIMULANTS AND RELATED AGENTS (SEE DX CODE REQ.)
CT,TETRACYCLINES
CT,THROMBOPOIESIS STIMULATING PROTEINS
CT,ULCERATIVE COLITIS AGENTS
CT,UTERINE DISORDER TREATMENTS
CT,"VASODILATORS, CORONARY"
FL,DIGITALIS GLYCOSIDES
FL,XANTHINES
FL,INOTROPIC DRUGS
FL,ANTIARRHYTHMICS
FL,"ANTIANGINAL, ANTI-ISCHEMIC AGENTS,NON-HEMODYNAMIC"
FL,"ANTIHYPERTENSIVES, VASODILATORS"
FL,"ANTIHYPERTENSIVES, SYMPATHOLYTIC"
FL,"ANTIHYPERTENSIVES, ACE INHIBITORS"
FL,"ANTIHYPERTENSIVES, ANGIOTENSIN RECEPTOR ANTAGONIST"
FL,ANGIOTENSIN RECEPTOR BLOCKR-CALCIUM CHANNEL BLOCKR
FL,ANGIOTENSIN RECEPTOR ANTAG.-THIAZIDE DIURETIC COMB
FL,ACE INHIBITOR-THIAZIDE OR THIAZIDE-LIKE DIURETIC
FL,ACE INHIBITOR-CALCIUM CHANNEL BLOCKER COMBINATION
FL,ANGIOTENSIN RECEPT-NEPRILYSIN INHIBITOR COMB(ARNI)
FL,ANGIOTEN.RECEPTR ANTAG-CALCIUM CHANL BLKR-THIAZIDE
FL,"VASODILATORS,CORONARY"
FL,BRADYKININ B2 RECEPTOR ANTAGONISTS
FL,CALCIUM CHANNEL BLOCKING AGENTS
FL,GENERAL INHALATION AGENTS
FL,PULMONARY FIBROSIS - SYSTEMIC ENZYME INHIBITORS
FL,"PULMONARY ANTI-HTN, ENDOTHELIN RECEPTOR ANTAGONIST"
FL,"PULMONARY ANTIHYPERTENSIVES, PROSTACYCLIN-TYPE"
FL,"PULM.ANTI-HTN,SEL.C-GMP PHOSPHODIESTERASE T5 INHIB"
FL,MUCOLYTICS
FL,EXPECTORANTS
FL,NON-OPIOID ANTITUS-1ST GEN.ANTIHISTAMINE-DECONGEST
FL,NON-OPIOID ANTITUSSIVE AND EXPECTORANT COMBINATION
FL,OPIOID ANTITUSSIVE-ANTICHOLINERGIC COMBINATIONS
FL,NON-OPIOID ANTITUSSIVE-1ST GEN ANTIHISTAMINE COMB.
FL,"ANTICHOLINERGICS, ORALLY INHALED SHORT ACTING"
FL,"ANTICHOLINERGICS, ORALLY INHALED LONG ACTING"
FL,"BETA-ADRENERGIC AND ANTICHOLINERGIC COMBO, INHALED"
FL,"BETA-ADRENERGIC AND GLUCOCORTICOID COMBO, INHALED"
FL,"GLUCOCORTICOIDS, ORALLY INHALED"
FL,"BETA-ADRENERGIC AGENTS, INHALED, SHORT ACTING"
FL,"BETA-ADRENERGIC AGENTS, ORALLY INHALED,LONG ACTING"
FL,WATER
FL,ANTI-ALCOHOLIC PREPARATIONS
FL,BICARBONATE PRODUCING/CONTAINING AGENTS
FL,ELECTROLYTE DEPLETERS
FL,SODIUM/SALINE PREPARATIONS
FL,POTASSIUM REPLACEMENT
FL,CALCIUM REPLACEMENT
FL,MAGNESIUM SALTS REPLACEMENT
FL,PHOSPHATE REPLACEMENT
FL,ELECTROLYTE MAINTENANCE
FL,IRON REPLACEMENT
FL,ZINC REPLACEMENT
FL,IODINE CONTAINING AGENTS
FL,"MINERAL REPLACEMENT, MISCELLANEOUS"
FL,ANTIHYPERGLYCEMIC-SOD/GLUC COTRANSPORT2(SGLT2) INH
FL,ANTIHYPERGLYCEMIC-SGLT2 INHIBITOR-BIGUANIDE COMBS.
FL,"ANTIHYPERGLYCEMIC,DPP-4 INHIBITOR-BIGUANIDE COMBS."
FL,INSULINS
FL,"ANTIHYPERGLY,INCRETIN MIMETIC(GLP-1 RECEP.AGONIST)"
FL,"ANTIHYPERGLYCEMIC, DPP-4 INHIBITORS"
FL,"ANTIHYPERGLYCEMIC, INSULIN-RELEASE STIMULANT TYPE"
FL,"ANTIHYPERGLYCEMIC, BIGUANIDE TYPE"
FL,"ANTIHYPERGLYCEMIC, ALPHA-GLUCOSIDASE INHIBITORS"
FL,"ANTIHYPERGLYCEMIC,THIAZOLIDINEDIONE(PPARG AGONIST)"
FL,"ANTIHYPERGLYCEMIC,INSULIN-RELEASE STIM.-BIGUANIDE"
FL,"ANTIHYPERGLYCEMIC, SGLT-2 AND DPP-4 INHIBITOR COMB"
FL,"ANTIHYPERGLY-SGLT-2 INHIB,DPP-4 INHIB,BIGUANIDE CB"
FL,"DIETARY SUPPLEMENT, MISCELLANEOUS"
FL,IV SOLUTIONS: DEXTROSE-WATER
FL,IV SOLUTIONS: DEXTROSE-SALINE
FL,IV SOLUTIONS: DEXTROSE AND LACTATED RINGERS
FL,DILUENT SOLUTIONS
FL,VITAMIN A PREPARATIONS
FL,VITAMIN B PREPARATIONS
FL,VITAMIN C PREPARATIONS
FL,VITAMIN D PREPARATIONS
FL,PRENATAL VITAMIN PREPARATIONS
FL,PEDIATRIC VITAMIN PREPARATIONS
FL,VITAMIN K PREPARATIONS
FL,VITAMIN B12 PREPARATIONS
FL,FOLIC ACID PREPARATIONS
FL,VITAMIN B6 PREPARATIONS
FL,VITAMIN B1 PREPARATIONS
FL,MULTIVITAMIN PREPARATIONS
FL,HYPERURICEMIA TX - XANTHINE OXIDASE INHIBITORS
FL,METABOLIC DEFICIENCY AGENTS
FL,"APPETITE STIM. FOR ANOREXIA,CACHEXIA,WASTING SYND."
FL,PKU TX AGENT-COFACTOR OF PHENYLALANINE HYDROXYLASE
FL,CYTOCHROME P450 INHIBITORS
FL,"METALLIC POISON,AGENTS TO TREAT"
FL,"ANTIDOTES,MISCELLANEOUS"
FL,PARENTERAL AMINO ACID SOLUTIONS AND COMBINATIONS
FL,PERIODONTAL COLLAGENASE INHIBITORS
FL,DENTAL AIDS AND PREPARATIONS
FL,FLUORIDE PREPARATIONS
FL,ANTACIDS
FL,ANTIDIARRHEAL MICROORGANISMS AGENTS
FL,ANTI-ULCER PREPARATIONS
FL,ANTI-ULCER-H.PYLORI AGENTS
FL,PROTON-PUMP INHIBITORS
FL,ANTIDIARRHEALS
FL,"DRUG TX-CHRONIC INFLAM. COLON DX,5-AMINOSALICYLAT"
FL,"IBS-C/CIC AGENTS, GUANYLATE CYCLASE-C AGONIST"
FL,LAXATIVES AND CATHARTICS
FL,BILE SALTS
FL,BILE SALT SEQUESTRANTS
FL,PANCREATIC ENZYMES
FL,AMMONIA INHIBITORS
FL,ANDROGENIC AGENTS
FL,ESTROGENIC AGENTS
FL,ESTROGEN/ANDROGEN COMBINATIONS
FL,PROGESTATIONAL AGENTS
FL,OXYTOCICS
FL,"CONTRACEPTIVES,ORAL"
FL,"CONTRACEPTIVES,INJECTABLE"
FL,"CONTRACEPTIVES,TRANSDERMAL"
FL,"CONTRACEPTIVES,INTRAVAGINAL"
FL,"CONTRACEPTIVES, INTRAVAGINAL, SYSTEMIC"
FL,LOCAL ANESTHETICS
FL,AGENTS TO TREAT MULTIPLE SCLEROSIS
FL,"AGTS TX NEUROMUSC TRANSMISSION DIS,POT-CHAN BLKR"
FL,"ALZHEIMER'S THERAPY, NMDA RECEPTOR ANTAGONISTS"
FL,ANTI-ANXIETY - BENZODIAZEPINES
FL,SEDATIVE-HYPNOTICS - BENZODIAZEPINES
FL,BARBITURATES
FL,"SEDATIVE-HYPNOTICS,NON-BARBITURATE"
FL,ANTI-ANXIETY DRUGS
FL,"ANTIPSYCHOTICS,PHENOTHIAZINES"
FL,BIPOLAR DISORDER DRUGS
FL,SELECTIVE SEROTONIN REUPTAKE INHIBITOR (SSRIS)
FL,"TRICYCLIC ANTIDEPRESSANTS,REL.NON-SEL.REUPT-INHIB"
FL,TX FOR ATTENTION DEFICIT-HYPERACT(ADHD)/NARCOLEPSY
FL,TRICYCLIC ANTIDEPRESSANT-PHENOTHIAZINE COMBINATNS
FL,TRICYCLIC ANTIDEPRESSANT-BENZODIAZEPINE COMBINATNS
FL,OPIOID ANALGESICS
FL,"ANALGESIC/ANTIPYRETICS, SALICYLATES"
FL,"ANALGESIC/ANTIPYRETICS,NON-SALICYLATE"
FL,ANTIMIGRAINE PREPARATIONS
FL,"ANALGESIC, NON-SALICYLATE AND BARBITURATE COMBINAT"
FL,"ANALGESIC,NON-SALICYLATE,BARBITURATE,XANTHINE COMB"
FL,"OPIOID,NON-SALICYL.ANALGESIC,BARBITURATE,XANTHINE"
FL,"ANALGESIC, SALICYLATE, BARBITURATE, XANTHINE COMB."
FL,OPIOID ANTAGONISTS
FL,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS
FL,"OPIOID WITHDRAWAL THERAPY AGENTS, OPIOID-TYPE"
FL,"MU-OPIOID RECEPTOR ANTAGONISTS,PERIPHERALLY-ACTING"
FL,ANTICONVULSANT - BENZODIAZEPINE TYPE
FL,ANTICONVULSANTS
FL,ANTICONVULSANT - CANNABINOID TYPE
FL,"ANTIPARKINSONISM DRUGS,OTHER"
FL,"ANTIPARKINSONISM DRUGS,ANTICHOLINERGIC"
FL,"ANTITUSSIVES, NON-OPIOID"
FL,SKELETAL MUSCLE RELAXANTS
FL,AMYOTROPHIC LATERAL SCLEROSIS AGENTS
FL,ANTIEMETIC/ANTIVERTIGO AGENTS
FL,DRUGS TO TREAT MOVEMENT DISORDERS
FL,ALPHA-2 RECEPTOR ANTAGONIST ANTIDEPRESSANTS
FL,SEROTONIN-NOREPINEPHRINE REUPTAKE-INHIB (SNRIS)
FL,NOREPINEPHRINE AND DOPAMINE REUPTAKE INHIB (NDRIS)
FL,SEROTONIN-2 ANTAGONIST/REUPTAKE INHIBITORS (SARIS)
FL,"SMOKING DETERRENTS, OTHER"
FL,"ANTIPSYCHOTICS,DOPAMINE ANTAGONISTS,BUTYROPHENONES"
FL,"ANTIPSYCHOTICS,DOPAMINE ANTAGONISTS, THIOXANTHENES"
FL,"ANTIPSYCH,DOPAMINE ANTAG.,DIPHENYLBUTYLPIPERIDINES"
FL,"ANTIPSYCHOTIC,ATYPICAL,DOPAMINE,SEROTONIN ANTAGNST"
FL,"ANTIPSYCHOTICS, DOPAMINE AND SEROTONIN ANTAGONISTS"
FL,"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED"
FL,"TX FOR ATTENTION DEFICIT-HYPERACT.(ADHD), NRI-TYPE"
FL,"HYPNOTICS, MELATONIN MT1/MT2 RECEPTOR AGONISTS"
FL,TX FOR ADHD - SELECTIVE ALPHA-2 RECEPTOR AGONIST
FL,"PSEUDOBULBAR AFFECT (PBA) AGENTS, NMDA ANTAGONISTS"
FL,SSRI AND 5HT1A PARTIAL AGONIST ANTIDEPRESSANTS
FL,NARCOLEPSY AND SLEEP DISORDER THERAPY AGENTS
FL,"SSRI, SEROTONIN RECEPTOR MODULATOR ANTIDEPRESSANTS"
FL,"ANTIPSYCHOTIC-ATYPICAL,D3/D2 PARTIAL AG-5HT MIXED"
FL,PARASYMPATHETIC AGENTS
FL,CHOLINESTERASE INHIBITORS
FL,BELLADONNA ALKALOIDS
FL,"ANTICHOLINERGICS,QUATERNARY AMMONIUM"
FL,ANTICHOLINERGICS/ANTISPASMODICS
FL,"SMOKING DETERRENT AGENTS (GANGLIONIC STIM,OTHERS)"
FL,SMOKING DETERRENT-NICOTINIC RECEPT.PARTIAL AGONIST
FL,"ADRENERGICS, AROMATIC, NON-CATECHOLAMINE"
FL,BETA-ADRENERGIC AGENTS
FL,ANAPHYLAXIS THERAPY AGENTS
FL,ADRENERGIC VASOPRESSOR AGENTS
FL,ALPHA/BETA-ADRENERGIC BLOCKING AGENTS
FL,ALPHA-ADRENERGIC BLOCKING AGENTS
FL,BETA-ADRENERGIC BLOCKING AGENTS
FL,"BETA-BLOCKERS AND THIAZIDE,THIAZIDE-LIKE DIURETICS"
FL,INTESTINAL MOTILITY STIMULANTS
FL,"ANTIPSORIATIC AGENTS,SYSTEMIC"
FL,"ACNE AGENTS,SYSTEMIC"
FL,EMOLLIENTS
FL,"ANTIPRURITICS,TOPICAL"
FL,KERATOLYTICS
FL,ANTISEBORRHEIC AGENTS
FL,ANTIPSORIATICS AGENTS
FL,"ROSACEA AGENTS, TOPICAL"
FL,"ACNE AGENTS,TOPICAL"
FL,VITAMIN A DERIVATIVES
FL,C1 ESTERASE INHIBITORS
FL,IV FAT EMULSIONS
FL,ANTIHYPERLIPIDEMIC-HMGCOA REDUCTASE INHIB(STATINS)
FL,LIPOTROPICS
FL,AGENTS TO TREAT HYPOGLYCEMIA (HYPERGLYCEMICS)
FL,ANTIHYPERLIPIDEMIC - PCSK9 INHIBITORS
FL,ANTIFIBRINOLYTIC AGENTS
FL,THROMBOLYTIC ENZYMES
FL,HEPARIN AND RELATED PREPARATIONS
FL,"ANTICOAGULANTS,COUMARIN TYPE"
FL,PLATELET AGGREGATION INHIBITORS
FL,HEMORRHEOLOGIC AGENTS
FL,"THROMBIN INHIBITORS, SELECTIVE, DIRECT, REVERSIBLE"
FL,DIRECT FACTOR XA INHIBITORS
FL,ERYTHROPOIESIS-STIMULATING AGENTS
FL,LEUKOCYTE (WBC) STIMULANTS
FL,PLATELET REDUCING AGENTS
FL,SICKLE CELL ANEMIA AGENTS
FL,CELL/GENE THERAPY AGENTS - HEMATOPOIETIC
FL,GROWTH HORMONES
FL,SOMATOSTATIC AGENTS
FL,ADRENOCORTICOTROPHIC HORMONES
FL,PITUITARY SUPPRESSIVE AGENTS
FL,LHRH (GNRH) AGONIST ANALOG PITUITARY SUPPRESSANTS
FL,"LHRH(GNRH) ANTAGONIST,PITUITARY SUPPRESSANT AGENTS"
FL,LHRH(GNRH)AGNST PIT.SUP-CENTRAL PRECOCIOUS PUBERTY
FL,"LHRH (GNRH) ANTAGONIST,ESTROGEN AND PROGESTIN COMB"
