Preferred,Non-Preferred
*Tramadol/acetaminophen tablet,butalbital/acetaminophen/caffeine) capsule 
,Hydrocodone/ibuprofen tablet 
,Hydromorphone solution 
,Levorphanol tablet 
,"Meperidine solution, tablet "
,"Morphine concentrated solution, oral syringe "
,NALOCET (oxycodone/acetaminophen) tablet 
,"Oxycodone capsule, syringe, concentrated solution "
,Oxycodone/acetaminophen solution 
, 
,Oxycodone/acetaminophen tablet (generic 
,PROLATE) 
,Oxymorphone tablet 
, 
,Pentazocine/naloxone tablet 
, 
,PERCOCET (oxycodone/ acetaminophen) tablet 
, 
,ROXICODONE (oxycodone) tablet 
, 
,ROXYBOND (oxycodone) tablet
,SEGLENTIS (tramadol/celecoxib) tablet 
Preferred  , 
No PA Required ,Tramadol 100mg tablet 
(unless indicated by * criteria) , 
 ,Tramadol solution
BELBUCABNR (buprenorphine) buccal film ,Non-Preferred  
 ,PA Required 
BUTRANSBNR (buprenorphine) transdermal patch , 
 ,**OXYCONTIN (oxycodone ER) tablet 
"*Fentanyl 12mcg, 25mcg, 50mcg, 75mcg, 100mcg transdermal ", 
patch ,"Buprenorphine buccal film, transdermal patch "
 , 
Morphine ER (generic MS Contin) tablet ,CONZIP (tramadol ER) capsule 
 , 
Tramadol ER (generic Ultram ER) tablet,"Fentanyl 37mcg, 62mcg, 87mcg transdermal patch "
, 
,"Hydrocodone ER capsule, tablet "
, 
,Hydromorphone ER tablet 
, 
,HYSINGLA (hydrocodone ER) tablet 
, 
,Methadone (all forms) 
, 
,Morphine ER capsule 
, 
,MS CONTIN (morphine ER) tablet
,Oxycodone ER tablet 
Preferred  , 
No PA Required  ,Oxymorphone ER tablet 
(*Must meet eligibility criteria) , 
  ,Tramadol ER capsule
Tobramycin inhalation solution ,Non-Preferred  
(generic TOBI) ,PA Required 
 , 
*CAYSTON (aztreonam) inhalation solution,ARIKAYCE (amikacin liposomal) inhalation vial 
, 
,BETHKIS (tobramycin) inhalation ampule 
, 
,KITABIS (tobramycin) nebulizer pak 
, 
,TOBI (tobramycin) inhalation solution
,TOBI PODHALER (tobramycin) inhalation capsule 
, 
,Tobramycin inhalation ampule (generic Bethkis) 
, 
,Tobramycin nebulizer pak (generic Kitabis)
No PA Required ,PA Required 
 , 
"Acyclovir tablet, capsule ",Acyclovir suspension (all other members) 
 , 
*Acyclovir suspension (members under 18 years or cannot ,SITAVIG (acyclovir) buccal tablet 
swallow a solid dosage form) , 
 ,VALTREX (valacyclovir) tablet
Famciclovir tablet ,
 ,
Valacyclovir tablet,
Preferred  ,Non-Preferred  
No PA Required ,PA Required 
(*if meeting eligibility criteria) , 
 ,BAXDELA (delafloxacin) tablet 
*CIPRO (ciprofloxacin) oral suspensionBNR , 
 ,CIPRO (ciprofloxacin) tablet 
Ciprofloxacin tablet , 
 ,Ciprofloxacin oral suspension 
Levofloxacin tablet , 
 ,Levofloxacin oral solution 
Moxifloxacin tablet, 
Preferred  ,Ofloxacin tablet
No PA Required for initial treatment ,Non-Preferred  
(*must meet eligibility criteria) ,PA Required 
 , 
EPCLUSA ,EPCLUSA 400 mg-100 mg 
"(sofosbuvir/velpatasvir)  200 mg -50 mg, 150 mg-37.5 ",(sofosbuvir/velpatasvir) tablet 
"mg tablet, pellet pack ", 
 ,HARVONI 90 mg-400 mg (ledipasvir/sofosbuvir) 
HARVONI ,tablet 
"(ledipasvir/sofosbuvir)  45mg-200mg tablet, pellet ", 
pack  ,"SOVALDI (sofosbuvir) tablet, pellet packet "
 , 
Ledipasvir/Sofosbuvir 90 mg-400 mg tablet (Asegua only) ,ZEPATIER (elbasvir/grazoprevir) tablet
 ,
MAVYRET ,
"(glecaprevir/pibrentasvir) tablet, pellet pack ",
 ,
Sofosbuvir/Velpatasvir 400mg-,
100mg (Asegua only) ,
 ,
*VOSEVI tablet ,
(sofosbuvir/velpatasvir/voxila previr),
No PA Required ,
 ,
Ribavirin capsule ,
 ,
Ribavirin tablet,
Didanosine DR capsule ,
 ,
Emtricitabine capsule ,
 ,
"EMTRIVA (emtricitabine) capsule, solution ",
 ,
"EPIVIR (lamivudine) solution, tablet ",
 ,
"Lamivudine solution, tablet ",
 ,
"RETROVIR (zidovudine) capsule, syrup ",
 ,
Stavudine capsule ,
 ,
Tenofovir disoproxil fumarate (TDF) tablet ,
 ,
"VIREAD (TDF) oral powder, tablet ",
 ,
"ZIAGEN (abacavir) solution, tablet ",
 ,
"Zidovudine capsule, syrup, tablet",
No PA Required ,
 ,
APTIVUS (tipranavir) capsule ,
 ,
Atazanavir capsule ,
 ,
Darunavir tablet ,
 ,
Fosamprenavir tablet ,
 ,
"LEXIVA (fosamprenavir) suspension, tablet ",
 ,
"NORVIR (ritonavir) powder packet, tablet ",
 ,
"PREZISTA (darunavir) suspension, tablet ",
 ,
"REYATAZ (atazanavir) capsule, powder pack ",
 ,
Ritonavir tablet ,
 ,
VIRACEPT (nelfinavir) tablet,
No PA Required ,
 ,
"ISENTRESS (raltegravir) chewable, powder pack, tablet ",
 ,
ISENTRESS HD (raltegravir) tablet ,
 ,
Maraviroc tablet ,
 ,
RUKOBIA (fostemsavir tromethamine ER) ,
tablet ,
 ,
"SELZENTRY (maraviroc) solution, tablet ",
 ,
SUNLENCA (lenacapavir) tablet ,
 ,
TIVICAY (dolutegravir) tablet ,
 ,
TIVICAY PD (dolutegravir) tablet for suspension ,
 ,
TYBOST (cobicistat) tablet ,
 ,
VOCABRIA (cabotegravir) tablet,
No PA Required ,
 ,
Abacavir/Lamivudine tablet ,
 ,
ATRIPLA (efavirenz/Emtricitabine/TDF) tablet ,
 ,
BIKTARVY (bictegravir/emtricitabine/TAF) ,
tablet ,
 ,
CIMDUO (lamivudine/TDF) tablet ,
 ,
COMBIVIR (lamivudine/zidovudine) tablet ,
 ,
COMPLERA (emtricitabine/rilpivirine/TDF) ,
tablet ,
 ,
DELSTRIGO (doravirine/lamivudine/TDF) ,
tablet ,
 ,
DESCOVY (emtricitabine/TAF) tablet,
DOVATO (dolutegravir/lamivudine) tablet ,
 ,
Efavirenz/Emtricitabine/TDF tablet ,
 ,
Efavirenz/Lamivudine/TDF tablet ,
 ,
Emtricitabine/TDF tablet ,
 ,
EPZICOM (abacavir/lamivudine) tablet ,
 ,
EVOTAZ (atazanavir/cobicistat) tablet ,
 ,
GENVOYA (elvitegravir/cobicistat/ emtricitabine/TAF) tablet ,
 ,
JULUCA (dolutegravir/rilpivirine) tablet ,
 ,
"KALETRA (lopinavir/ritonavir) solution, tablet ",
 ,
Lamivudine/Zidovudine tablet ,
 ,
"Lopinavir/Ritonavir solution, tablet ",
 ,
ODEFSEY (emtricitabine/rilpivirine/TAF) ,
tablet ,
 ,
PREZCOBIX (darunavir/cobicistat) tablet ,
 ,
STRIBILD (elvitegravir/cobicistat/ emtricitabine/TDF) tablet ,
 ,
SYMFI/SYMFI LO ,
(efavirenz/lamivudine/TDF) tablet ,
 ,
SYMTUZA (darunavir/cobicistat/ emtricitabine/TAF) tablet ,
 ,
TRIUMEQ (abacavir/dolutegravir/ lamivudine) ,
tablet ,
 ,
TRIUMEQ PD (abacavir/dolutegravir) tablet for suspension ,
 ,
TRIZIVIR (abacavir/lamivudine/zidovudine) ,
tablet,
No PA Required ,PA Required 
 , 
Doxycycline hyclate capsules ,Demeclocycline tablet 
 , 
Doxycycline hyclate tablets ,DORYX (doxycycline DR) tablet 
 , 
"Doxycycline monohydrate 50mg, ",Doxycycline hyclate DR tablet  
100mg capsule , 
 ,"Doxycycline monohydrate 75mg, 150mg capsule "
Doxycycline monohydrate tablets , 
 ,Doxycycline monohydrate suspension 
Minocycline capsules, 
No PA Required ,"Minocycline IR, ER tablet "
 , 
Prazosin capsule,MINOLIRA (minocycline ER) tablet 
, 
,MORGIDOX (doxycycline/skin cleanser) kit 
, 
,NUZYRA (omadacycline) tablet 
, 
,SOLODYN ER (minocycline ER) tablet 
, 
,Tetracycline capsule 
, 
,XIMINO (minocycline ER) capsule
,PA Required 
, 
,MINIPRESS (prazosin) capsule
No PA Required ,PA Required 
(*Must meet eligibility criteria) , 
 ,Betaxolol tablet 
 , 
Acebutolol capsule ,BYSTOLIC (nebivolol) tablet 
 , 
Atenolol tablet ,CORGARD (nadolol) tablet 
 , 
Bisoprolol tablet ,COREG (carvedilol) tablet 
 , 
Carvedilol IR tablet ,COREG CR (carvedilol ER) capsule 
 , 
*HEMANGEOL (propranolol) solution ,Carvedilol ER capsule 
 , 
Labetalol tablet ,INDERAL LA/XL (propranolol ER) capsule 
 , 
Metoprolol tartrate tablet ,INNOPRAN XL (propranolol ER) capsule 
 , 
Metoprolol succinate ER tablet ,KASPARGO (metoprolol succinate) sprinkle capsule 
 , 
Nadolol tablet ,LOPRESSOR (metoprolol tartrate) tablet 
Nebivolol tablet , 
 ,Pindolol tablet 
"Propranolol IR tablet, solution ", 
 ,TENORMIN (atenolol) tablet 
Propranolol ER capsule, 
No PA Required ,Timolol tablet 
(*Must meet eligibility criteria) , 
 ,TOPROL XL (metoprolol succinate) tablet
 ,PA Required 
Acebutolol capsule , 
 ,Betaxolol tablet 
Atenolol tablet , 
 ,BYSTOLIC (nebivolol) tablet 
Bisoprolol tablet , 
 ,CORGARD (nadolol) tablet 
Carvedilol IR tablet , 
 ,COREG (carvedilol) tablet 
*HEMANGEOL (propranolol) solution , 
 ,COREG CR (carvedilol ER) capsule 
Labetalol tablet , 
 ,Carvedilol ER capsule 
Metoprolol tartrate tablet , 
 ,INDERAL LA/XL (propranolol ER) capsule 
Metoprolol succinate ER tablet , 
 ,INNOPRAN XL (propranolol ER) capsule 
Nadolol tablet , 
Nebivolol tablet ,KASPARGO (metoprolol succinate) sprinkle capsule 
 , 
"Propranolol IR tablet, solution ",LOPRESSOR (metoprolol tartrate) tablet 
 , 
Propranolol ER capsule,Pindolol tablet 
No PA Required , 
(*Must meet eligibility criteria) ,TENORMIN (atenolol) tablet 
 , 
 ,Timolol tablet 
Acebutolol capsule , 
 ,TOPROL XL (metoprolol succinate) tablet
Atenolol tablet ,PA Required 
 , 
Bisoprolol tablet ,Betaxolol tablet 
 , 
Carvedilol IR tablet ,BYSTOLIC (nebivolol) tablet 
 , 
*HEMANGEOL (propranolol) solution ,CORGARD (nadolol) tablet 
 , 
Labetalol tablet ,COREG (carvedilol) tablet 
 , 
Metoprolol tartrate tablet ,COREG CR (carvedilol ER) capsule 
 , 
Metoprolol succinate ER tablet ,Carvedilol ER capsule 
 , 
Nadolol tablet ,INDERAL LA/XL (propranolol ER) capsule 
Nebivolol tablet , 
 ,INNOPRAN XL (propranolol ER) capsule 
"Propranolol IR tablet, solution ", 
 ,KASPARGO (metoprolol succinate) sprinkle capsule 
Propranolol ER capsule, 
No PA Required ,LOPRESSOR (metoprolol tartrate) tablet 
(*Must meet eligibility criteria) , 
 ,Pindolol tablet 
 , 
Acebutolol capsule ,TENORMIN (atenolol) tablet 
 , 
Atenolol tablet ,Timolol tablet 
 , 
Bisoprolol tablet ,TOPROL XL (metoprolol succinate) tablet
 ,PA Required 
Carvedilol IR tablet , 
 ,Betaxolol tablet 
*HEMANGEOL (propranolol) solution , 
 ,BYSTOLIC (nebivolol) tablet 
Labetalol tablet , 
 ,CORGARD (nadolol) tablet 
Metoprolol tartrate tablet , 
 ,COREG (carvedilol) tablet 
Metoprolol succinate ER tablet , 
 ,COREG CR (carvedilol ER) capsule 
Nadolol tablet , 
Nebivolol tablet ,Carvedilol ER capsule 
 , 
"Propranolol IR tablet, solution ",INDERAL LA/XL (propranolol ER) capsule 
 , 
Propranolol ER capsule,INNOPRAN XL (propranolol ER) capsule 
No PA Required , 
(*Must meet eligibility criteria) ,KASPARGO (metoprolol succinate) sprinkle capsule 
 , 
 ,LOPRESSOR (metoprolol tartrate) tablet 
Acebutolol capsule , 
 ,Pindolol tablet 
Atenolol tablet , 
 ,TENORMIN (atenolol) tablet 
Bisoprolol tablet , 
 ,Timolol tablet 
Carvedilol IR tablet , 
 ,TOPROL XL (metoprolol succinate) tablet
*HEMANGEOL (propranolol) solution ,PA Required 
 , 
Labetalol tablet ,Betaxolol tablet 
 , 
Metoprolol tartrate tablet ,BYSTOLIC (nebivolol) tablet 
 , 
Metoprolol succinate ER tablet ,CORGARD (nadolol) tablet 
 , 
Nadolol tablet ,COREG (carvedilol) tablet 
Nebivolol tablet , 
 ,COREG CR (carvedilol ER) capsule 
"Propranolol IR tablet, solution ", 
 ,Carvedilol ER capsule 
Propranolol ER capsule, 
No PA Required ,INDERAL LA/XL (propranolol ER) capsule 
(*Must meet eligibility criteria) , 
 ,INNOPRAN XL (propranolol ER) capsule 
 , 
Acebutolol capsule ,KASPARGO (metoprolol succinate) sprinkle capsule 
 , 
Atenolol tablet ,LOPRESSOR (metoprolol tartrate) tablet 
 , 
Bisoprolol tablet ,Pindolol tablet 
 , 
Carvedilol IR tablet ,TENORMIN (atenolol) tablet 
 , 
*HEMANGEOL (propranolol) solution ,Timolol tablet 
 , 
Labetalol tablet ,TOPROL XL (metoprolol succinate) tablet
 ,PA Required 
Metoprolol tartrate tablet , 
 ,Betaxolol tablet 
Metoprolol succinate ER tablet , 
 ,BYSTOLIC (nebivolol) tablet 
Nadolol tablet , 
Nebivolol tablet ,CORGARD (nadolol) tablet 
 , 
"Propranolol IR tablet, solution ",COREG (carvedilol) tablet 
 , 
Propranolol ER capsule,COREG CR (carvedilol ER) capsule 
No PA Required , 
(*Must meet eligibility criteria) ,Carvedilol ER capsule 
 , 
 ,INDERAL LA/XL (propranolol ER) capsule 
Acebutolol capsule , 
 ,INNOPRAN XL (propranolol ER) capsule 
Atenolol tablet , 
 ,KASPARGO (metoprolol succinate) sprinkle capsule 
Bisoprolol tablet , 
 ,LOPRESSOR (metoprolol tartrate) tablet 
Carvedilol IR tablet , 
 ,Pindolol tablet 
*HEMANGEOL (propranolol) solution , 
 ,TENORMIN (atenolol) tablet 
Labetalol tablet , 
 ,Timolol tablet 
Metoprolol tartrate tablet , 
 ,TOPROL XL (metoprolol succinate) tablet
Metoprolol succinate ER tablet ,PA Required 
 , 
Nadolol tablet ,Betaxolol tablet 
Nebivolol tablet , 
 ,BYSTOLIC (nebivolol) tablet 
"Propranolol IR tablet, solution ", 
 ,CORGARD (nadolol) tablet 
Propranolol ER capsule, 
No PA Required ,COREG (carvedilol) tablet 
(*Must meet eligibility criteria) , 
 ,COREG CR (carvedilol ER) capsule 
 , 
Acebutolol capsule ,Carvedilol ER capsule 
 , 
Atenolol tablet ,INDERAL LA/XL (propranolol ER) capsule 
 , 
Bisoprolol tablet ,INNOPRAN XL (propranolol ER) capsule 
 , 
Carvedilol IR tablet ,KASPARGO (metoprolol succinate) sprinkle capsule 
 , 
*HEMANGEOL (propranolol) solution ,LOPRESSOR (metoprolol tartrate) tablet 
 , 
Labetalol tablet ,Pindolol tablet 
 , 
Metoprolol tartrate tablet ,TENORMIN (atenolol) tablet 
 , 
Metoprolol succinate ER tablet ,Timolol tablet 
 , 
Nadolol tablet ,TOPROL XL (metoprolol succinate) tablet
Nebivolol tablet ,PA Required 
 , 
"Propranolol IR tablet, solution ",Betaxolol tablet 
 , 
Propranolol ER capsule,BYSTOLIC (nebivolol) tablet 
No PA Required , 
(*Must meet eligibility criteria) ,CORGARD (nadolol) tablet 
 , 
 ,COREG (carvedilol) tablet 
Acebutolol capsule , 
 ,COREG CR (carvedilol ER) capsule 
Atenolol tablet , 
 ,Carvedilol ER capsule 
Bisoprolol tablet , 
 ,INDERAL LA/XL (propranolol ER) capsule 
Carvedilol IR tablet , 
 ,INNOPRAN XL (propranolol ER) capsule 
*HEMANGEOL (propranolol) solution , 
 ,KASPARGO (metoprolol succinate) sprinkle capsule 
Labetalol tablet , 
 ,LOPRESSOR (metoprolol tartrate) tablet 
Metoprolol tartrate tablet , 
 ,Pindolol tablet 
Metoprolol succinate ER tablet , 
 ,TENORMIN (atenolol) tablet 
Nadolol tablet , 
Nebivolol tablet ,Timolol tablet 
 , 
"Propranolol IR tablet, solution ",TOPROL XL (metoprolol succinate) tablet
 ,PA Required 
Propranolol ER capsule, 
,Betaxolol tablet 
, 
,BYSTOLIC (nebivolol) tablet 
, 
,CORGARD (nadolol) tablet 
, 
,COREG (carvedilol) tablet 
, 
,COREG CR (carvedilol ER) capsule 
, 
,Carvedilol ER capsule 
, 
,INDERAL LA/XL (propranolol ER) capsule 
, 
,INNOPRAN XL (propranolol ER) capsule 
, 
,KASPARGO (metoprolol succinate) sprinkle capsule 
, 
,LOPRESSOR (metoprolol tartrate) tablet 
, 
,Pindolol tablet 
, 
,TENORMIN (atenolol) tablet 
, 
,Timolol tablet 
, 
,TOPROL XL (metoprolol succinate) tablet
,"Beta-Blockers, Anti-Arrhythmics"
No PA Required ,
 ,"Beta-Blockers, Combinations"
Sotalol tablet,
,Therapeutic Drug Class: CALCIUM CHANNEL-BLOCKERS - Effective 7/1/2024
No PA Required ,Dihydropyridines (DHPs)
 ,PA Required 
Atenolol/Chlorthalidone tablet , 
 ,ADALAT CC (nifedipine ER) tablet 
Bisoprolol/HCTZ tablet , 
 ,NORLIQVA (amlodipine) suspension 
Metoprolol/HCTZ tablet, 
,KATERZIA (amlodipine) suspension 
, 
No PA Required ,Isradipine capsule 
 , 
Amlodipine tablet ,Levamlodipine tablet
 ,
Felodipine ER tablet ,
 ,
Nifedipine ER tablet ,
 ,
Nifedipine IR capsule,
,Nicardipine capsule 
, 
,Nimodipine capsule 
, 
,Nisoldipine ER tablet 
, 
,NORVASC (amlodipine) tablet 
, 
,"NYMALIZE (nimodipine) solution, oral syringe "
, 
,PROCARDIA XL (nifedipine ER) tablet 
, 
,SULAR (nisoldipine ER) tablet
Quinapril tablet ,EPANED (enalapril) solution 
 , 
Ramipril tablet,LOTENSIN (benazepril) tablet 
No PA Required , 
 ,Moexipril tablet 
Amlodipine/Benazepril capsule , 
 ,Perindopril tablet 
Benazepril/HCTZ tablet , 
 ,PRINIVIL (lisinopril) tablet 
Enalapril/HCTZ tablet , 
 ,QBRELIS (lisinopril) solution 
Lisinopril/HCTZ tablet, 
No PA Required ,Trandolapril tablet 
  , 
Irbesartan tablet ,VASOTEC (enalapril) tablet 
 , 
Losartan tablet ,ZESTRIL (lisinopril) tablet
 ,PA Required 
Olmesartan tablet, 
,ACCURETIC (quinapril/HCTZ) tablet 
, 
,Captopril/HCTZ tablet 
, 
,Fosinopril/HCTZ tablet 
, 
,LOTENSIN HCT (benazepril/HCTZ) tablet 
, 
,LOTREL (amlodipine/benazepril) capsule 
, 
,Quinapril/HCTZ tablet 
, 
,VASERETIC (enalapril/HCTZ) tablet 
, 
,ZESTORETIC (lisinopril/HCTZ) tablet
,PA Required 
, 
,ATACAND (candesartan) tablet 
, 
,AVAPRO (irbesartan) tablet 
, 
,BENICAR (olmesartan) tablet
Telmisartan tablet ,Candesartan tablet 
 , 
Valsartan tablet,COZAAR (losartan) tablet 
Preferred  , 
No PA Required  ,DIOVAN (valsartan) tablet 
(Unless indicated*) , 
 ,EDARBI (azilsartan) tablet 
*ENTRESTO , 
(sacubitril/valsartan) tabletBNR ,Eprosartan tablet 
 , 
Irbesartan/HCTZ tablet ,MICARDIS (telmisartan) tablet 
 , 
Losartan/HCTZ tablet ,Valsartan solution
  ,Non-Preferred  
Olmesartan/Amlodipine tablet ,PA Required 
 ,ATACAND HCT (candesartan/HCTZ) tablet 
Olmesartan/HCTZ tablet , 
 ,AVALIDE (irbesartan/HCTZ) tablet 
Valsartan/Amlodipine tablet , 
 ,AZOR (olmesartan/amlodipine) tablet 
Valsartan/HCTZ tablet, 
,BENICAR HCT (olmesartan/HCTZ) tablet 
, 
,Candesartan/HCTZ tablet 
, 
,DIOVAN HCT (valsartan/HCTZ) tablet 
, 
,EDARBYCLOR (azilsartan/chlorthalidone) tablet 
, 
,ENTRESTO (sacubitril/valsartan) sprinkles 
, 
,EXFORGE (valsartan/amlodipine) tablet 
, 
,EXFORGE HCT (valsartan/amlodipine/HCTZ) 
,tablet 
, 
,HYZAAR (losartan/HCTZ) tablet 
, 
,MICARDIS HCT (telmisartan/HCTZ) tablet 
, 
,Olmesartan/amlodipine/HCTZ tablet 
, 
,Telmisartan/amlodipine tablet
,Telmisartan/HCTZ tablet 
, 
Preferred  ,TRIBENZOR (olmesartan/amlodipine/HCTZ) 
*Must meet eligibility criteria ,tablet 
 , 
 ,Valsartan/Amlodipine/HCTZ tablet
"*Sildenafil tablet, oral suspension  ",PA Required 
 , 
*Tadalafil 20mg tablet,Aliskiren tablet 
, 
,TEKTURNA (aliskiren) tablet 
, 
,TEKTURNA HCT (aliskiren/HCTZ) tablet
,Non-Preferred  
,PA Required 
, 
, 
,ADCIRCA (tadalafil) tablet 
, 
,ALYQ (tadalafil) tablet 
, 
,LIQREV (sildenafil) suspension 
, 
,"REVATIO (sildenafil) suspension, tablet "
, 
,TADLIQ suspension
Preferred  ,Non-Preferred  
(*Must meet eligibility criteria) ,PA Required 
 , 
*FLOLAN (epoprostenol) vial ,Epoprostenol vial 
 , 
*ORENITRAM (treprostinil ER) ,REMODULIN (treprostinil) vial 
"tablet, titration kit ", 
 ,Treprostinil vial 
*VENTAVIS (iloprost) inhalation solution, 
,"TYVASO (treprostinil) inhaler, inhalation solution "
, 
,"UPTRAVI (selexipag) tablet, dose pack, vial "
, 
,VELETRI (epoprostenol) vial
,Non-Preferred  
,PA Required 
, 
,ADEMPAS (riociguat) tablet
No PA Required ,PA Required 
 , 
Colesevelam tablet ,Colesevelam packet  
 , 
Colestipol tablet ,"COLESTID (colestipol) tablet, granules "
 , 
"Cholestyramine packet, light packet, powder",Colestipol granules 
No PA Required , 
 ,"QUESTRAN (cholestyramine/sugar) packet, powder "
Fenofibric acid DR (generic Trilipix) capsule , 
 ,"QUESTRAN LIGHT (cholestyramine/ aspartame) packet, powder "
"Fenofibrate capsule, tablet ", 
(generic Lofibra/Tricor) ,"WELCHOL (colesevelam) packet, tablet"
 ,PA Required 
Gemfibrozil tablet, 
,ANTARA (fenofibrate) capsule 
, 
,Fenofibric acid tablet 
, 
,Fenofibrate capsule  
,(generic Antara/Fenoglide/Lipofen) 
, 
,FENOGLIDE (fenofibrate) tablet 
, 
,LIPOFEN (fenofibrate) capsule
,LOPID (gemfibrozil) tablet 
No PA Required , 
(*Must meet eligibility criteria) ,TRICOR (fenofibrate nano) tablet 
 , 
Ezetimibe tablet ,TRILIPIX (fenofibric acid) capsule
 ,PA Required 
Niacin ER tablet , 
 , 
*Omega-3 ethyl esters capsule (generic Lovaza),Icosapent ethyl capsule 
, 
,LOVAZA (omega-3 ethyl esters) capsule 
, 
,NEXLETOL (bempedoic acid) tablet 
, 
,NEXLIZET (bempedoic acid/ezetimibe) tablet 
, 
,ZETIA (ezetimibe) tablet
No PA Required ,PA Required 
 , 
Atorvastatin tablet ,ALTOPREV (lovastatin ER) tablet 
 , 
Lovastatin tablet ,ATORVALIQ (atorvastatin) suspension 
 , 
Pravastatin tablet ,CRESTOR (rosuvastatin) tablet 
 , 
Rosuvastatin tablet ,EZALLOR (rosuvastatin) sprinkle capsule 
 , 
Simvastatin tablet,FLOLIPID (simvastatin) suspension 
No PA Required ,"Fluvastatin capsule, ER tablet "
 , 
Simvastatin/Ezetimibe tablet,LESCOL XL (fluvastatin ER) tablet 
, 
,LIPITOR (atorvastatin) tablet 
, 
,LIVALO (pitavastatin) tablet 
, 
,Pitavastatin tablet 
, 
,ZOCOR (simvastatin) tablet 
, 
,ZYPITAMAG (pitavastatin) tablet
,PA Required 
, 
,Atorvastatin/Amlodipine tablet
,CADUET (atorvastatin/amlodipine) tablet 
No PA Required , 
(*Must meet eligibility criteria) ,VYTORIN (simvastatin/ezetimibe) tablet
 ,PA Required 
*Austedo (deutetrabenazine) tablet , 
 , 
"*Austedo (deutetrabenazine) XR tablet, titration pack ",Xenazine (tetrabenazine) tablet
 ,
"*Ingrezza (valbenazine) capsule, initiation pack ",
 ,
* Tetrabenazine tablet,
No PA Required,PA Required 
"Phenobarbital elixir, solution, tablet ",Non-preferred brand name medications do not require a prior authorization when the equivalent generic is preferred and “dispense as written” is indicated on the prescription.
 ,MYSOLINE (primidone) tablet
Primidone tablet,"DILANTIN (phenytoin ER), 100 mg capsules"
